date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600015,10.8900,11.2500,10.8800,11.1400,36245017,401975040.0000,3,0.339196,1,2.672811,6.077051,0.927631,1.881507,33.683439,0
2017-01-04,sh.600015,11.1500,11.2800,11.1000,11.2000,28144290,315565760.0000,3,0.263386,1,0.538595,6.109782,0.932627,1.891640,33.864858,0
2017-01-05,sh.600015,11.2000,11.2500,11.1000,11.1200,14083537,157218396.0000,3,0.131800,1,-0.714285,6.066141,0.925965,1.878129,33.622966,0
2017-01-06,sh.600015,11.1400,11.1600,10.9600,11.0100,22253608,245385744.0000,3,0.208258,1,-0.989206,6.006134,0.916806,1.859550,33.290365,0
2017-01-09,sh.600015,10.9800,11.1500,10.9700,11.0700,13707372,151753147.0000,3,0.128279,1,0.544954,6.038865,0.921802,1.869684,33.471784,0
2017-01-10,sh.600015,11.0800,11.1100,11.0300,11.0700,9812729,108673225.0000,3,0.091832,1,0.000000,6.038865,0.921802,1.869684,33.471784,0
2017-01-11,sh.600015,11.0500,11.0700,10.8700,10.8800,23058651,252708747.0000,3,0.215792,1,-1.716347,5.935217,0.905980,1.837593,32.897291,0
2017-01-12,sh.600015,10.9200,10.9300,10.8300,10.8500,11785234,128190314.0000,3,0.110291,1,-0.275733,5.918851,0.903482,1.832527,32.806581,0
2017-01-13,sh.600015,10.8300,11.0800,10.8100,10.9500,18151512,198708528.0000,3,0.169869,1,0.921654,5.973403,0.911809,1.849416,33.108946,0
2017-01-16,sh.600015,10.9200,11.1700,10.9100,11.1300,69344988,766054496.0000,3,0.648959,1,1.643838,6.071596,0.926798,1.879818,33.653203,0
2017-01-17,sh.600015,11.1000,11.1800,11.0800,11.1300,18091288,201465210.0000,3,0.169306,1,0.000000,6.071596,0.926798,1.879818,33.653203,0
2017-01-18,sh.600015,11.1400,11.2700,11.1300,11.2500,17957000,201123541.0000,3,0.168049,1,1.078166,6.137058,0.936790,1.900085,34.016041,0
2017-01-19,sh.600015,11.2200,11.4100,11.1900,11.2600,24778373,280659824.0000,3,0.231886,1,0.088891,6.142513,0.937623,1.901774,34.046277,0
2017-01-20,sh.600015,11.2400,11.4300,11.2400,11.3700,18175701,206717801.0000,3,0.170096,1,0.976906,6.202520,0.946783,1.920353,34.378878,0
2017-01-23,sh.600015,11.3500,11.3800,11.2800,11.3200,12128400,137390042.0000,3,0.113503,1,-0.439755,6.175244,0.942619,1.911908,34.227696,0
2017-01-24,sh.600015,11.3400,11.5500,11.3100,11.4900,25556591,292629056.0000,3,0.239169,1,1.501768,6.267982,0.956775,1.940620,34.741716,0
2017-01-25,sh.600015,11.4900,11.5800,11.4400,11.5500,14999863,172949831.0000,3,0.140375,1,0.522197,6.300713,0.961771,1.950754,34.923135,0
2017-01-26,sh.600015,11.5500,11.7200,11.5300,11.5900,14494274,168760961.0000,3,0.135643,1,0.346320,6.322533,0.965102,1.957510,35.044081,0
2017-02-03,sh.600015,11.6200,11.6500,11.4600,11.4900,17415778,200613865.0000,3,0.162984,1,-0.862816,6.267982,0.956775,1.940620,34.741716,0
2017-02-06,sh.600015,11.4800,11.5300,11.3300,11.3600,16641833,189639817.0000,3,0.155741,1,-1.131420,6.197065,0.945950,1.918664,34.348642,0
2017-02-07,sh.600015,11.3600,11.3900,11.3000,11.3700,12518471,142009671.0000,3,0.117153,1,0.088030,6.202520,0.946783,1.920353,34.378878,0
2017-02-08,sh.600015,11.3600,11.4300,11.3200,11.4200,15573393,177257278.0000,3,0.145742,1,0.439755,6.229796,0.950946,1.928798,34.530061,0
2017-02-09,sh.600015,11.4100,11.5600,11.3900,11.4700,11240485,129143910.0000,3,0.105193,1,0.437830,6.257071,0.955110,1.937242,34.681243,0
2017-02-10,sh.600015,11.4800,11.6600,11.4700,11.6300,20813968,241450250.0000,3,0.194786,1,1.394942,6.344354,0.968433,1.964266,35.165027,0
2017-02-13,sh.600015,11.6300,11.7600,11.5700,11.6300,34518102,402777760.0000,3,0.323035,1,0.000000,6.344354,0.968433,1.964266,35.165027,0
2017-02-14,sh.600015,11.6400,11.6600,11.5200,11.5600,20149740,233283676.0000,3,0.188570,1,-0.601889,6.306168,0.962604,1.952443,34.953371,0
2017-02-15,sh.600015,11.5700,11.7600,11.5600,11.6900,36414584,425337920.0000,3,0.340783,1,1.124560,6.377085,0.973429,1.974400,35.346446,0
2017-02-16,sh.600015,11.7000,11.7700,11.6500,11.7200,21061180,246521894.0000,3,0.197099,1,0.256636,6.393450,0.975927,1.979466,35.437155,0
2017-02-17,sh.600015,11.7200,11.7500,11.5500,11.6000,17549166,204551907.0000,3,0.164232,1,-1.023890,6.327988,0.965935,1.959199,35.074317,0
2017-02-20,sh.600015,11.6200,12.0000,11.6100,11.8800,62381427,741223776.0000,3,0.583791,1,2.413791,6.480733,0.989251,2.006490,35.920939,0
2017-02-21,sh.600015,11.9000,12.0300,11.8400,11.8800,34290377,409620656.0000,3,0.320904,1,0.000000,6.480733,0.989251,2.006490,35.920939,0
2017-02-22,sh.600015,11.8700,11.9300,11.8000,11.9300,18443835,218989531.0000,3,0.172605,1,0.420877,6.508009,0.993414,2.014935,36.072121,0
2017-02-23,sh.600015,11.8800,11.9500,11.7400,11.8300,15729279,186332124.0000,3,0.147201,1,-0.838226,6.453457,0.985087,1.998045,35.769756,0
2017-02-24,sh.600015,11.8000,11.8300,11.6100,11.7300,26589636,310709680.0000,3,0.248837,1,-0.845312,6.398906,0.976760,1.981155,35.467392,0
2017-02-27,sh.600015,11.7000,11.7000,11.5700,11.6100,24190302,281357584.0000,3,0.226383,1,-1.023017,6.333444,0.966768,1.960888,35.104554,0
2017-02-28,sh.600015,11.6100,11.7300,11.6000,11.6700,18879102,220412191.0000,3,0.176678,1,0.516799,6.366175,0.971764,1.971022,35.285973,0
2017-03-01,sh.600015,11.6800,11.8200,11.5100,11.5800,41439809,483831312.0000,3,0.387811,1,-0.771209,6.317078,0.964270,1.955821,35.013844,0
2017-03-02,sh.600015,11.6000,11.6800,11.4200,11.4300,27549199,317927312.0000,3,0.257817,1,-1.295334,6.235251,0.951779,1.930487,34.560297,0
2017-03-03,sh.600015,11.3900,11.4800,11.3600,11.4300,17755831,202991322.0000,3,0.166166,1,0.000000,6.235251,0.951779,1.930487,34.560297,0
2017-03-06,sh.600015,11.4200,11.5700,11.4100,11.5100,23276236,268223667.0000,3,0.217829,1,0.699912,6.278892,0.958441,1.943998,34.802189,0
2017-03-07,sh.600015,11.5000,11.6100,11.4700,11.6000,15406738,177989278.0000,3,0.144183,1,0.781930,6.327988,0.965935,1.959199,35.074317,0
2017-03-08,sh.600015,11.5500,11.6300,11.5500,11.5900,10902232,126296503.0000,3,0.102028,1,-0.086209,6.322533,0.965102,1.957510,35.044081,0
2017-03-09,sh.600015,11.5800,11.5900,11.3700,11.4400,18309326,209640650.0000,3,0.171346,1,-1.294224,6.240706,0.952612,1.932175,34.590534,0
2017-03-10,sh.600015,11.4400,11.4800,11.3600,11.3800,17440679,198884579.0000,3,0.163217,1,-0.524471,6.207975,0.947616,1.922042,34.409115,0
2017-03-13,sh.600015,11.3800,11.5100,11.3500,11.4700,22861056,261636753.0000,3,0.213943,1,0.790862,6.257071,0.955110,1.937242,34.681243,0
2017-03-14,sh.600015,11.4600,11.5100,11.4300,11.4900,20670280,237185195.0000,3,0.193441,1,0.174364,6.267982,0.956775,1.940620,34.741716,0
2017-03-15,sh.600015,11.4800,11.4800,11.3800,11.4200,19804088,226113127.0000,3,0.185335,1,-0.609223,6.229796,0.950946,1.928798,34.530061,0
2017-03-16,sh.600015,11.4400,11.5200,11.4000,11.4100,33582219,384839664.0000,3,0.314276,1,-0.087568,6.224340,0.950114,1.927109,34.499824,0
2017-03-17,sh.600015,11.4200,11.4400,11.2700,11.2800,28988168,329252656.0000,3,0.271283,1,-1.139352,6.153423,0.939288,1.905152,34.106750,0
2017-03-20,sh.600015,11.2800,11.3300,11.1600,11.2200,20088247,225632773.0000,3,0.187994,1,-0.531910,6.120692,0.934292,1.895018,33.925331,0
2017-03-21,sh.600015,11.2200,11.2400,11.1300,11.1900,27648308,309068576.0000,3,0.258744,1,-0.267386,6.104327,0.931794,1.889951,33.834622,0
2017-03-22,sh.600015,11.1700,11.1700,11.0300,11.0600,33553884,372075648.0000,3,0.314011,1,-1.161744,6.033410,0.920969,1.867995,33.441547,0
2017-03-23,sh.600015,11.0900,11.2100,11.0700,11.1200,23332356,260107124.0000,3,0.218354,1,0.542491,6.066141,0.925965,1.878129,33.622966,0
2017-03-24,sh.600015,11.1200,11.2600,11.0800,11.2200,33758995,377011008.0000,3,0.315931,1,0.899284,6.120692,0.934292,1.895018,33.925331,0
2017-03-27,sh.600015,11.2000,11.4500,11.1900,11.3400,35076240,398484400.0000,3,0.328258,1,1.069518,6.186154,0.944285,1.915286,34.288169,0
2017-03-28,sh.600015,11.3100,11.3700,11.2200,11.2300,17285321,195033997.0000,3,0.161763,1,-0.970023,6.126147,0.935125,1.896707,33.955568,0
2017-03-29,sh.600015,11.2600,11.3000,11.1100,11.1700,26786975,299844384.0000,3,0.250684,1,-0.534278,6.093416,0.930129,1.886573,33.774149,0
2017-03-30,sh.600015,11.1800,11.2300,11.1200,11.1800,21134047,236077775.0000,3,0.197781,1,0.089528,6.098872,0.930961,1.888262,33.804385,0
2017-03-31,sh.600015,11.1800,11.3200,11.1500,11.2900,25726421,289456240.0000,3,0.240758,1,0.983897,6.158878,0.940121,1.906841,34.136986,0
2017-04-05,sh.600015,11.4600,11.4900,11.2800,11.3900,45684970,518883968.0000,3,0.427539,1,0.885743,6.213430,0.948448,1.923731,34.439351,0
2017-04-06,sh.600015,11.3500,11.4000,11.2900,11.3200,30612855,347005392.0000,3,0.286488,1,-0.614580,6.175244,0.942619,1.911908,34.227696,0
2017-04-07,sh.600015,11.3000,11.3600,11.2900,11.3500,23082595,261453438.0000,3,0.216016,1,0.265024,6.191609,0.945117,1.916975,34.318405,0
2017-04-10,sh.600015,11.3500,11.3500,11.1800,11.2100,36716438,412974160.0000,3,0.343608,1,-1.233483,6.115237,0.933460,1.893329,33.895095,0
2017-04-11,sh.600015,11.1800,11.2000,11.0300,11.1600,40549866,450504256.0000,3,0.379482,1,-0.446032,6.087961,0.929296,1.884884,33.743912,0
2017-04-12,sh.600015,11.1400,11.1600,11.0400,11.0600,29748673,330287952.0000,3,0.278400,1,-0.896052,6.033410,0.920969,1.867995,33.441547,0
2017-04-13,sh.600015,11.0300,11.0600,10.8600,10.9000,47642158,521374176.0000,3,0.445855,1,-1.446662,5.946127,0.907646,1.840971,32.957764,0
2017-04-14,sh.600015,10.8900,10.9200,10.7400,10.8200,36242339,392403552.0000,3,0.339171,1,-0.733944,5.902486,0.900984,1.827460,32.715872,0
