date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600016,9.0800,9.1600,9.0500,9.1100,58352389,531505648.0000,3,0.197458,1,0.330394,7.087480,1.017805,2.149445,-23.748323,0
2017-01-04,sh.600016,9.1000,9.1200,9.0400,9.1100,73120372,663889520.0000,3,0.247431,1,0.000000,7.087480,1.017805,2.149445,-23.748323,0
2017-01-05,sh.600016,9.1100,9.1200,9.0700,9.0800,56243309,511452912.0000,3,0.190321,1,-0.329305,7.064140,1.014453,2.142366,-23.670118,0
2017-01-06,sh.600016,9.0800,9.0900,9.0100,9.0100,55732553,503621296.0000,3,0.188593,1,-0.770922,7.009681,1.006633,2.125850,-23.487639,0
2017-01-09,sh.600016,9.0000,9.0400,8.9800,9.0200,49114801,442818752.0000,3,0.166199,1,0.110990,7.017461,1.007750,2.128210,-23.513707,0
2017-01-10,sh.600016,9.0100,9.0500,9.0100,9.0300,38946271,351732176.0000,3,0.131790,1,0.110857,7.025240,1.008867,2.130569,-23.539776,0
2017-01-11,sh.600016,9.0300,9.0500,8.9800,8.9900,38822892,350048432.0000,3,0.131372,1,-0.442968,6.994121,1.004398,2.121131,-23.435502,0
2017-01-12,sh.600016,9.0000,9.0300,8.9800,9.0000,22511184,202778273.0000,3,0.076175,1,0.111237,7.001901,1.005515,2.123491,-23.461570,0
2017-01-13,sh.600016,8.9900,9.1000,8.9800,9.0800,59021403,534243616.0000,3,0.199722,1,0.888888,7.064140,1.014453,2.142366,-23.670118,0
2017-01-16,sh.600016,9.0700,9.2700,8.9700,9.2000,196318555,1798612064.0000,3,0.664321,1,1.321585,7.157499,1.027860,2.170680,-23.982939,0
2017-01-17,sh.600016,9.1600,9.1900,9.1300,9.1500,31710844,290563856.0000,3,0.107306,1,-0.543480,7.118599,1.022274,2.158882,-23.852597,0
2017-01-18,sh.600016,9.1700,9.2000,9.1300,9.1800,23076975,211871129.0000,3,0.078090,1,0.327876,7.141939,1.025626,2.165961,-23.930802,0
2017-01-19,sh.600016,9.1500,9.2600,9.1400,9.1800,24707934,227509736.0000,3,0.083609,1,0.000000,7.141939,1.025626,2.165961,-23.930802,0
2017-01-20,sh.600016,9.1800,9.2400,9.1500,9.2200,27038313,248813297.0000,3,0.091495,1,0.435729,7.173058,1.030095,2.175398,-24.035075,0
2017-01-23,sh.600016,9.2400,9.2600,9.1900,9.2200,23741568,218992125.0000,3,0.080339,1,0.000000,7.173058,1.030095,2.175398,-24.035075,0
2017-01-24,sh.600016,9.2200,9.2900,9.2100,9.2700,27881995,258024163.0000,3,0.094350,1,0.542301,7.211958,1.035681,2.187196,-24.165417,0
2017-01-25,sh.600016,9.2400,9.2600,9.2000,9.2200,16776054,154747457.0000,3,0.056768,1,-0.539376,7.173058,1.030095,2.175398,-24.035075,0
2017-01-26,sh.600016,9.2300,9.2900,9.2300,9.2500,19569744,181256712.0000,3,0.066222,1,0.325377,7.196398,1.033446,2.182477,-24.113281,0
2017-02-03,sh.600016,9.2800,9.2800,9.1700,9.1700,24803969,228389826.0000,3,0.083934,1,-0.864864,7.134159,1.024508,2.163601,-23.904733,0
2017-02-06,sh.600016,9.2100,9.2300,9.1500,9.1600,42566220,391284368.0000,3,0.144039,1,-0.109054,7.126379,1.023391,2.161242,-23.878665,0
