date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600036,17.6000,17.9800,17.5700,17.9600,30458320,543437232.0000,3,0.147648,1,2.045447,7.384467,1.142623,2.203721,-10.182506,0
2017-01-04,sh.600036,17.9000,18.1100,17.8500,18.0200,25665746,461916736.0000,3,0.124416,1,0.334083,7.409137,1.146440,2.211083,-10.216524,0
2017-01-05,sh.600036,18.0500,18.2100,18.0300,18.1000,24563935,445323280.0000,3,0.119075,1,0.443951,7.442029,1.151530,2.220899,-10.261880,0
2017-01-06,sh.600036,18.1000,18.1600,17.9600,17.9600,17487854,315460240.0000,3,0.084773,1,-0.773488,7.384467,1.142623,2.203721,-10.182506,0
2017-01-09,sh.600036,18.0500,18.1300,17.9100,17.9400,17346031,312457104.0000,3,0.084086,1,-0.111351,7.376244,1.141351,2.201267,-10.171167,0
2017-01-10,sh.600036,17.9500,18.0900,17.9100,17.9400,10668237,191855417.0000,3,0.051715,1,0.000000,7.376244,1.141351,2.201267,-10.171167,0
2017-01-11,sh.600036,18.0300,18.0700,17.9300,17.9600,13428968,241615359.0000,3,0.065098,1,0.111475,7.384467,1.142623,2.203721,-10.182506,0
2017-01-12,sh.600036,17.9500,18.1300,17.9400,18.0000,14095858,254229662.0000,3,0.068330,1,0.222722,7.400913,1.145168,2.208629,-10.205184,0
2017-01-13,sh.600036,18.0000,18.3800,17.9800,18.2200,25117871,456928160.0000,3,0.121760,1,1.222218,7.491369,1.159165,2.235624,-10.329915,0
2017-01-16,sh.600036,18.1800,18.5900,18.1600,18.5800,75104666,1385245872.0000,3,0.364074,1,1.975854,7.639387,1.182068,2.279796,-10.534018,0
2017-01-17,sh.600036,18.5000,18.5900,18.4300,18.4500,23566010,435835488.0000,3,0.114238,1,-0.699673,7.585936,1.173797,2.263845,-10.460314,0
2017-01-18,sh.600036,18.4900,18.6100,18.4700,18.5900,17879565,331977184.0000,3,0.086672,1,0.758804,7.643499,1.182704,2.281023,-10.539688,0
2017-01-19,sh.600036,18.5500,18.7400,18.5100,18.5200,13117422,244232036.0000,3,0.063587,1,-0.376545,7.614717,1.178251,2.272434,-10.500001,0
2017-01-20,sh.600036,18.5400,18.6500,18.4700,18.5900,21739051,403155088.0000,3,0.105381,1,0.377968,7.643499,1.182704,2.281023,-10.539688,0
2017-01-23,sh.600036,18.6800,18.7600,18.4100,18.5000,19879818,369761616.0000,3,0.096369,1,-0.484132,7.606494,1.176978,2.269980,-10.488662,0
2017-01-24,sh.600036,18.5900,18.8800,18.5000,18.8700,25543630,479286640.0000,3,0.123824,1,2.000005,7.665767,1.200518,2.276754,-10.698435,0
2017-01-25,sh.600036,18.8100,18.9500,18.6800,18.8800,15272178,287271136.0000,3,0.074033,1,0.052985,7.669829,1.201154,2.277960,-10.704105,0
2017-01-26,sh.600036,18.9000,19.2500,18.8200,19.0000,27318666,521508256.0000,3,0.132429,1,0.635598,7.718578,1.208789,2.292439,-10.772139,0
2017-02-03,sh.600036,19.0800,19.0800,18.6600,18.7000,23307310,437172384.0000,3,0.112984,1,-1.578943,7.596706,1.189702,2.256243,-10.602053,0
2017-02-06,sh.600036,18.8800,18.9000,18.5400,18.6200,24044319,449830960.0000,3,0.116556,1,-0.427807,7.564207,1.184613,2.246590,-10.556696,0
2017-02-07,sh.600036,18.6300,18.6800,18.5500,18.5700,22941249,426839072.0000,3,0.111209,1,-0.268535,7.543895,1.181432,2.240558,-10.528349,0
2017-02-08,sh.600036,18.5500,18.6000,18.4800,18.6000,19710326,365540224.0000,3,0.095547,1,0.161555,7.556082,1.183340,2.244177,-10.545357,0
2017-02-09,sh.600036,18.5900,18.9300,18.5900,18.7300,22249868,418114736.0000,3,0.107858,1,0.698920,7.608893,1.191611,2.259862,-10.619061,0
2017-02-10,sh.600036,18.8600,18.9700,18.7300,18.9000,39642813,748379536.0000,3,0.192171,1,0.907635,7.677954,1.202426,2.280374,-10.715444,0
2017-02-13,sh.600036,18.9000,19.0900,18.8900,18.9700,25330996,480693328.0000,3,0.122793,1,0.370369,7.706391,1.206880,2.288819,-10.755131,0
2017-02-14,sh.600036,19.0000,19.0300,18.8100,18.8700,23787741,449426416.0000,3,0.115312,1,-0.527140,7.665767,1.200518,2.276754,-10.698435,0
2017-02-15,sh.600036,18.9700,19.2300,18.9000,19.1300,59684478,1140926368.0000,3,0.289324,1,1.377839,7.771390,1.217059,2.308124,-10.845843,0
2017-02-16,sh.600036,19.1900,19.3400,19.0400,19.1400,35223424,674770080.0000,3,0.170748,1,0.052275,7.775452,1.217695,2.309331,-10.851513,0
2017-02-17,sh.600036,19.1900,19.2300,18.9800,19.0200,17980608,343397824.0000,3,0.087162,1,-0.626954,7.726703,1.210061,2.294852,-10.783478,0
