date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600908,11.0100,11.1400,10.9700,11.0700,4835267,53508434.0000,3,2.616324,1,1.280873,22.929246,2.347669,8.137221,-28.522858,0
2017-01-04,sh.600908,11.0800,11.1300,10.8700,11.1200,4681733,51778984.0000,3,2.533248,1,0.451673,23.032811,2.358273,8.173975,-28.651688,0
2017-01-05,sh.600908,11.1100,11.1600,11.0800,11.0900,5181943,57638603.0000,3,2.803907,1,-0.269782,22.970672,2.351911,8.151923,-28.574390,0
2017-01-06,sh.600908,11.0700,11.1300,10.8700,10.8800,5886786,64509411.0000,3,3.185292,1,-1.893598,22.535700,2.307375,7.997558,-28.033306,0
2017-01-09,sh.600908,10.8700,10.8800,10.7200,10.8000,4508607,48704187.0000,3,2.439571,1,-0.735293,22.369996,2.290409,7.938752,-27.827179,0
2017-01-10,sh.600908,10.8000,10.8200,10.6300,10.6500,4784974,51366765.0000,3,2.589111,1,-1.388894,22.059302,2.258598,7.828492,-27.440690,0
2017-01-11,sh.600908,10.6400,10.7600,10.4600,10.6200,9049652,96295273.0000,3,4.896694,1,-0.281688,21.997163,2.252236,7.806440,-27.363393,0
2017-01-12,sh.600908,10.5400,10.6900,10.4200,10.4500,4512698,47591733.0000,3,2.441784,1,-1.600754,21.645042,2.216183,7.681478,-26.925372,0
2017-01-13,sh.600908,10.4400,10.4600,10.1900,10.2200,6936301,71524569.0000,3,3.753176,1,-2.200953,21.168644,2.167406,7.512412,-26.332756,0
2017-01-16,sh.600908,10.2000,10.2100,9.5100,9.7800,10599969,104556996.0000,3,5.735558,1,-4.305289,20.257274,2.074093,7.188981,-25.199056,0
2017-01-17,sh.600908,9.6600,9.8400,9.4100,9.7600,8249612,79591308.0000,3,4.463798,1,-0.204494,20.215848,2.069851,7.174280,-25.147525,0
2017-01-18,sh.600908,9.7100,9.7400,9.5100,9.5200,6160100,59169896.0000,3,3.333180,1,-2.459014,19.718737,2.018953,6.997863,-24.529143,0
2017-01-19,sh.600908,9.5200,9.5900,9.3000,9.4600,6689833,63305537.0000,3,3.619815,1,-0.630256,19.594459,2.006229,6.953759,-24.374547,0
2017-01-20,sh.600908,9.4200,9.8200,9.4200,9.7000,8353929,80677031.0000,3,4.520243,1,2.536995,20.091571,2.057127,7.130176,-24.992929,0
2017-01-23,sh.600908,9.7100,9.8100,9.6700,9.7500,5525129,53864775.0000,3,2.989603,1,0.515466,20.195135,2.067730,7.166929,-25.121759,0
2017-01-24,sh.600908,9.7500,9.8200,9.7000,9.7100,3232908,31508877.0000,3,1.749300,1,-0.410256,20.112283,2.059247,7.137526,-25.018695,0
2017-01-25,sh.600908,9.7000,9.7600,9.6800,9.7300,3247097,31576852.0000,3,1.756978,1,0.205968,20.153709,2.063489,7.152228,-25.070227,0
