date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600919,9.6400,9.7600,9.6400,9.7500,29371660,285633456.0000,3,2.544212,1,1.246105,10.795342,1.396933,3.655609,-2.534342,0
2017-01-04,sh.600919,9.7500,9.8200,9.6900,9.8000,27038555,263747423.0000,3,2.342116,1,0.512822,10.850703,1.404096,3.674355,-2.547339,0
2017-01-05,sh.600919,9.8000,9.8000,9.7300,9.7400,19594591,191106228.0000,3,1.697310,1,-0.612249,10.784270,1.395500,3.651859,-2.531743,0
2017-01-06,sh.600919,9.7300,9.7400,9.6200,9.6300,21413300,206689902.0000,3,1.854849,1,-1.129360,10.662476,1.379740,3.610616,-2.503150,0
2017-01-09,sh.600919,9.6300,9.6800,9.6100,9.6600,12973059,125087157.0000,3,1.123744,1,0.311524,10.695693,1.384038,3.621864,-2.510948,0
2017-01-10,sh.600919,9.6500,9.6600,9.6000,9.6200,15097476,145255852.0000,3,1.307764,1,-0.414078,10.651404,1.378307,3.606867,-2.500551,0
2017-01-11,sh.600919,9.6100,9.6300,9.5000,9.5100,21686017,207022220.0000,3,1.878472,1,-1.143448,10.529610,1.362547,3.565624,-2.471958,0
2017-01-12,sh.600919,9.5000,9.5100,9.2300,9.2700,37217711,348666432.0000,3,3.223848,1,-2.523657,10.263879,1.328161,3.475640,-2.409574,0
2017-01-13,sh.600919,9.2400,9.4400,9.0700,9.3500,50446786,464983456.0000,3,4.369768,1,0.862998,10.352456,1.339623,3.505635,-2.430369,0
2017-01-16,sh.600919,9.2800,9.5400,9.1000,9.5000,86962104,814682432.0000,3,7.532774,1,1.604274,10.518538,1.361114,3.561875,-2.469359,0
2017-01-17,sh.600919,9.4000,9.5000,9.3600,9.4400,22496763,212040079.0000,3,1.948700,1,-0.631583,10.452105,1.352517,3.539379,-2.453763,0
2017-01-18,sh.600919,9.4200,9.4400,9.3300,9.3400,19268497,180686047.0000,3,1.669063,1,-1.059316,10.341384,1.338190,3.501886,-2.427770,0
2017-01-19,sh.600919,9.3500,9.4000,9.3200,9.3400,16276999,152312666.0000,3,1.409935,1,0.000000,10.161640,1.338190,3.438412,-2.427770,0
2017-01-20,sh.600919,9.3100,9.4900,9.3000,9.4500,21980834,207100707.0000,3,1.904009,1,1.177727,10.281317,1.353950,3.478907,-2.456362,0
2017-01-23,sh.600919,9.4300,9.5300,9.4300,9.4700,17571809,166651862.0000,3,1.522094,1,0.211645,10.303076,1.356816,3.486270,-2.461561,0
2017-01-24,sh.600919,9.4700,9.4800,9.3900,9.4200,11552591,108910377.0000,3,1.000701,1,-0.527985,10.248678,1.349652,3.467863,-2.448564,0
2017-01-25,sh.600919,9.3900,9.4900,9.3600,9.4700,12155701,115009820.0000,3,1.052943,1,0.530788,10.303076,1.356816,3.486270,-2.461561,0
2017-01-26,sh.600919,9.4700,9.6000,9.4700,9.5900,24032355,229962822.0000,3,2.081715,1,1.267158,10.433633,1.374009,3.530447,-2.492753,0
2017-02-03,sh.600919,9.5800,9.5900,9.5200,9.5400,10888740,103926455.0000,3,0.943197,1,-0.521378,10.379234,1.366845,3.512040,-2.479756,0
2017-02-06,sh.600919,9.5500,9.6000,9.5100,9.6000,14605696,139771912.0000,3,1.265165,1,0.628935,10.444512,1.375441,3.534128,-2.495352,0
2017-02-07,sh.600919,9.5700,9.6000,9.4800,9.5100,14815944,141161160.0000,3,1.283377,1,-0.937501,10.346595,1.362547,3.500996,-2.471958,0
2017-02-08,sh.600919,9.4900,9.5900,9.4000,9.5900,23322988,221228501.0000,3,2.020268,1,0.841219,10.433633,1.374009,3.530447,-2.492753,0
2017-02-09,sh.600919,9.5500,9.6500,9.5300,9.6100,24013461,230586901.0000,3,2.080078,1,0.208545,10.455392,1.376874,3.537809,-2.497951,0
2017-02-10,sh.600919,9.6000,9.8800,9.6000,9.7800,58040151,569009424.0000,3,5.027515,1,1.768992,10.640347,1.401231,3.600393,-2.542140,0
2017-02-13,sh.600919,9.8800,10.3600,9.8100,10.0100,102703571,1034218624.0000,3,8.896320,1,2.351743,10.890580,1.434184,3.685065,-2.601924,0
2017-02-14,sh.600919,10.0400,10.0600,9.8100,9.8900,44471718,440705664.0000,3,3.852200,1,-1.198800,10.760024,1.416991,3.640888,-2.570732,0
2017-02-15,sh.600919,9.9000,10.3000,9.8800,10.1000,106638834,1083650400.0000,3,9.237198,1,2.123357,10.988497,1.447079,3.718197,-2.625318,0
2017-02-16,sh.600919,10.0700,10.3500,10.0000,10.2600,80408382,819952384.0000,3,6.965081,1,1.584157,11.162573,1.470003,3.777099,-2.666908,0
2017-02-17,sh.600919,10.1900,10.2900,9.9500,9.9700,68520125,692343520.0000,3,5.935305,1,-2.826510,10.847061,1.428453,3.670339,-2.591527,0
2017-02-20,sh.600919,9.9300,10.7000,9.9100,10.5900,168551537,1750422800.0000,3,14.600159,1,6.218655,11.521603,1.517284,3.898585,-2.752685,0
2017-02-21,sh.600919,10.5500,10.6400,10.3100,10.3700,95480099,993314304.0000,3,8.270614,1,-2.077434,11.282249,1.485763,3.817595,-2.695500,0
2017-02-22,sh.600919,10.3300,10.3300,10.1400,10.2300,63435834,647527728.0000,3,5.494897,1,-1.350052,11.129933,1.465705,3.766055,-2.659110,0
2017-02-23,sh.600919,10.2200,10.3300,10.1500,10.2600,42232299,432606608.0000,3,3.658218,1,0.293262,11.162573,1.470003,3.777099,-2.666908,0
2017-02-24,sh.600919,10.2400,10.2500,10.0600,10.1700,55261314,559998944.0000,3,4.786809,1,-0.877194,11.064655,1.457108,3.743967,-2.643514,0
2017-02-27,sh.600919,10.1500,10.1800,10.0400,10.0500,36852246,371861568.0000,3,3.192191,1,-1.179940,10.934099,1.439915,3.699790,-2.612322,0
2017-02-28,sh.600919,10.0600,10.5400,10.0600,10.4000,121869560,1262548784.0000,3,10.556504,1,3.482581,11.314888,1.490061,3.828639,-2.703298,0
2017-03-01,sh.600919,10.3500,10.4700,10.2300,10.2400,75203284,777635968.0000,3,6.514209,1,-1.538460,11.140813,1.467137,3.769737,-2.661709,0
2017-03-02,sh.600919,10.3000,10.5700,10.2700,10.4100,112637947,1175767056.0000,3,9.756849,1,1.660157,11.325768,1.491494,3.832320,-2.705897,0
