date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.600926,20.9500,21.2500,20.9400,21.1300,6194919,130966180.0000,3,2.366731,1,0.859181,14.078637,1.593273,4.047810,3.666430,0
2017-01-04,sh.600926,21.1500,21.3200,21.1200,21.3100,7954356,168892125.0000,3,3.038913,1,0.851871,14.198569,1.606846,4.082292,3.697663,0
2017-01-05,sh.600926,21.3300,21.3300,21.1800,21.2000,5993224,127263490.0000,3,2.289675,1,-0.516184,14.125277,1.598552,4.061220,3.678576,0
2017-01-06,sh.600926,21.1700,21.2300,20.8500,20.8800,8366693,175746533.0000,3,3.196444,1,-1.509441,13.912066,1.574423,3.999919,3.623050,0
2017-01-09,sh.600926,20.8200,20.9700,20.7300,20.9400,5252655,109507175.0000,3,2.006745,1,0.287363,13.952043,1.578947,4.011413,3.633462,0
2017-01-10,sh.600926,20.8800,20.9300,20.7700,20.7800,4956306,103202138.0000,3,1.893527,1,-0.764087,13.845437,1.566882,3.980762,3.605699,0
2017-01-11,sh.600926,20.8100,20.8100,20.2800,20.2900,9644373,197620863.0000,3,3.684574,1,-2.358035,13.518956,1.529935,3.886894,3.520675,0
2017-01-12,sh.600926,20.2700,20.3300,19.9300,19.9600,7198518,144967417.0000,3,2.750150,1,-1.626426,13.299082,1.505051,3.823677,3.463414,0
2017-01-13,sh.600926,19.9700,19.9900,19.5200,19.6400,8750652,172751768.0000,3,3.343134,1,-1.603205,13.085870,1.480922,3.762376,3.407888,0
2017-01-16,sh.600926,19.5300,19.9800,19.1700,19.6300,11627980,226680724.0000,3,4.442399,1,-0.050918,13.079207,1.480168,3.760460,3.406153,0
2017-01-17,sh.600926,19.5000,19.7800,19.2300,19.7200,8629084,168430177.0000,3,3.296689,1,0.458483,13.139173,1.486955,3.777701,3.421770,0
2017-01-18,sh.600926,19.6000,19.6800,19.3700,19.3800,6228772,121677393.0000,3,2.379665,1,-1.724139,12.912636,1.461318,3.712568,3.362774,0
2017-01-19,sh.600926,19.3000,19.6900,19.0400,19.4500,8573878,166378634.0000,3,3.275598,1,0.361205,12.959276,1.466596,3.725978,3.374920,0
2017-01-20,sh.600926,19.3600,19.8600,19.3200,19.7400,9288431,182862620.0000,3,3.548589,1,1.490997,13.152499,1.488463,3.781532,3.425240,0
2017-01-23,sh.600926,19.7000,19.9300,19.6700,19.7600,7818031,154741777.0000,3,2.986831,1,0.101319,13.165825,1.489971,3.785364,3.428711,0
2017-01-24,sh.600926,19.7700,19.7800,19.6200,19.6900,3994088,78658974.0000,3,1.525917,1,-0.354249,13.119184,1.484693,3.771954,3.416564,0
2017-01-25,sh.600926,19.6300,19.7500,19.6000,19.7000,3283230,64640788.0000,3,1.254338,1,0.050788,13.125847,1.485447,3.773870,3.418300,0
2017-01-26,sh.600926,19.6800,20.2400,19.6800,20.1500,11683539,234372349.0000,3,4.463625,1,2.284258,13.425676,1.519378,3.860075,3.496382,0
2017-02-03,sh.600926,20.1700,20.1700,19.8700,19.8900,4200527,83786083.0000,3,1.604786,1,-1.290324,13.252442,1.499773,3.810267,3.451268,0
2017-02-06,sh.600926,19.9100,20.1100,19.8700,20.1000,4620617,92378168.0000,3,1.765279,1,1.055812,13.392362,1.515608,3.850496,3.487707,0
2017-02-07,sh.600926,20.0800,20.1200,19.8400,19.9200,5524159,110259027.0000,3,2.110471,1,-0.895524,13.272430,1.502035,3.816014,3.456473,0
2017-02-08,sh.600926,19.8800,20.1500,19.6700,20.1000,9932754,197740335.0000,3,3.794748,1,0.903616,13.392362,1.515608,3.850496,3.487707,0
2017-02-09,sh.600926,20.0600,20.1900,20.0100,20.1100,7227023,145221207.0000,3,2.761040,1,0.049752,13.399025,1.516362,3.852412,3.489442,0
