date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-03-01,sh.600928,5.6200,6.7400,5.6200,6.7400,441427,2967378.0000,3,0.099321,1,44.017090,13.026315,1.544756,5.220201,43.215550,0
2019-03-04,sh.600928,7.4100,7.4100,7.4100,7.4100,465168,3446895.0000,3,0.104663,1,9.940654,14.321216,1.698314,5.739123,47.511457,0
2019-03-05,sh.600928,8.1500,8.1500,8.1500,8.1500,1035085,8435943.0000,3,0.232894,1,9.986502,15.751405,1.867917,6.312260,52.256191,0
2019-03-06,sh.600928,8.9700,8.9700,8.9700,8.9700,1831815,16431381.0000,3,0.412158,1,10.061360,17.336208,2.055854,6.947359,57.513869,0
2019-03-07,sh.600928,9.8700,9.8700,9.8700,9.8700,1991695,19658030.0000,3,0.448131,1,10.033440,19.075627,2.262127,7.644418,63.284492,0
2019-03-08,sh.600928,10.8600,10.8600,10.8600,10.8600,23355708,253642989.0000,3,5.255034,1,10.030390,20.988988,2.489028,8.411184,69.632176,0
2019-03-11,sh.600928,10.9100,11.9500,10.2300,11.9500,310756688,3419543788.0000,3,69.920255,1,10.036830,23.095618,2.738847,9.255400,76.621041,0
2019-03-12,sh.600928,11.3500,12.7900,11.2000,12.0800,249572951,2984122616.0000,3,56.153914,1,1.087867,23.346867,2.768642,9.356087,77.454575,0
2019-03-13,sh.600928,11.8500,12.2600,11.3500,11.4500,157769544,1837892241.0000,3,35.498147,1,-5.215233,22.129274,2.624251,8.868145,73.415140,0
2019-03-14,sh.600928,11.2200,11.5600,10.3100,10.4000,143947302,1558937503.0000,3,32.388143,1,-9.170307,20.099952,2.383599,8.054909,66.682747,0
2019-03-15,sh.600928,10.3900,10.6000,9.9600,10.1800,104890103,1076292730.0000,3,23.600273,1,-2.115378,19.674761,2.333177,7.884517,65.272150,0
2019-03-18,sh.600928,10.1000,11.2000,9.8300,11.2000,111253623,1183573191.0000,3,25.032065,1,10.019640,21.646102,2.566953,8.674517,71.812189,0
2019-03-19,sh.600928,11.7400,12.3000,11.3200,11.5200,221965744,2607123409.0000,3,49.942292,1,2.857149,22.264562,2.640294,8.922361,73.863966,0
2019-03-20,sh.600928,11.2700,12.6700,11.2700,12.6700,215468964,2611513604.0000,3,48.480517,1,9.982635,24.487153,2.903866,9.813048,81.237539,0
2019-03-21,sh.600928,13.5000,13.9400,12.0000,12.3800,152069453,2035350860.0000,3,34.215627,1,-2.288871,23.926673,2.837400,9.588440,79.378116,0
2019-03-22,sh.600928,12.9700,13.0000,11.8000,12.1500,224861366,2825103333.0000,3,50.593807,1,-1.857839,23.482155,2.784686,9.410302,77.903402,0
2019-03-25,sh.600928,11.3800,11.8500,11.0800,11.5800,154449377,1764565821.0000,3,34.751110,1,-4.691356,22.380523,2.654046,8.968831,74.248674,0
2019-03-26,sh.600928,11.4000,11.7500,11.1300,11.5500,119827740,1373128450.0000,3,26.961241,1,-0.259065,22.322543,2.647170,8.945596,74.056320,0
2019-03-27,sh.600928,11.4700,11.8900,11.2800,11.5800,114830950,1336146230.0000,3,25.836964,1,0.259738,22.380523,2.654046,8.968831,74.248674,0
2019-03-28,sh.600928,11.3000,11.3000,10.5700,10.6800,97231665,1063304828.0000,3,21.877125,1,-7.772017,20.641104,2.447773,8.271772,68.478052,0
2019-03-29,sh.600928,10.6000,11.7500,10.5100,11.7500,180186348,2056725586.0000,3,40.541928,1,10.018720,22.709080,2.693009,9.100498,75.338681,0
2019-04-01,sh.600928,12.0000,12.9100,11.7500,12.4300,208926510,2553543746.0000,3,47.008465,1,5.787237,24.023308,2.848859,9.627165,79.698706,0
2019-04-02,sh.600928,12.2100,12.8500,12.1200,12.1800,164627206,2030423776.0000,3,37.041121,1,-2.011263,23.540136,2.791561,9.433538,78.095756,0
2019-04-03,sh.600928,11.7900,12.1000,11.7000,11.9900,97648080,1163193934.0000,3,21.970818,1,-1.559939,23.172925,2.748015,9.286381,76.877513,0
2019-04-04,sh.600928,12.0400,12.4800,11.8600,11.9500,112718713,1371228391.0000,3,25.361710,1,-0.333611,23.095618,2.738847,9.255400,76.621041,0
2019-04-08,sh.600928,11.8000,12.3000,11.4500,11.6000,97326472,1154125699.0000,3,21.898456,1,-2.928865,22.419177,2.658630,8.984322,74.376910,0
2019-04-09,sh.600928,11.4100,11.5300,11.1100,11.4100,63674855,719879284.0000,3,14.326842,1,-1.637936,22.051966,2.615083,8.837165,73.158668,0
2019-04-10,sh.600928,11.3200,11.6600,11.2100,11.4000,55855478,640877204.0000,3,12.567483,1,-0.087644,22.032640,2.612791,8.829419,73.094550,0
2019-04-11,sh.600928,11.2500,11.3700,11.0000,11.0200,53871933,599131844.0000,3,12.121185,1,-3.333326,21.298218,2.525698,8.535105,70.658065,0
2019-04-12,sh.600928,11.1100,11.1800,10.9100,11.1200,33358217,369193113.0000,3,7.505599,1,0.907436,21.491487,2.548618,8.612557,71.299245,0
2019-04-15,sh.600928,11.2500,11.4900,11.0000,11.0600,47659984,538043208.0000,3,10.723496,1,-0.539563,21.375526,2.534866,8.566086,70.914537,0
2019-04-16,sh.600928,10.8700,11.3300,10.6400,11.1900,63642935,699771499.0000,3,14.319660,1,1.175399,21.626775,2.564661,8.666772,71.748071,0
2019-04-17,sh.600928,11.0300,11.1800,10.9500,11.0100,46783678,516020338.0000,3,10.526328,1,-1.608573,21.278891,2.523406,8.527360,70.593947,0
2019-04-18,sh.600928,11.0800,11.1400,10.8500,10.8700,39684879,435348875.0000,3,8.929098,1,-1.271574,21.008315,2.491320,8.418929,69.696294,0
2019-04-19,sh.600928,10.8000,10.9700,10.7100,10.8000,31978366,345399462.0000,3,7.195132,1,-0.643971,20.873027,2.475276,8.364713,69.247468,0
2019-04-22,sh.600928,10.8100,10.8600,10.5800,10.5900,34244599,364860204.0000,3,7.705035,1,-1.944445,20.467163,2.427146,8.202066,67.900990,0
2019-04-23,sh.600928,10.4500,10.6300,10.3700,10.4300,31860063,333631638.0000,3,7.168514,1,-1.510858,20.157932,2.390475,8.078144,66.875101,0
2019-04-24,sh.600928,10.5700,10.6000,10.4100,10.5100,22340679,234610910.0000,3,5.026653,1,0.767018,19.042970,2.069135,7.342076,-48.273832,0
2019-04-25,sh.600928,10.4500,10.9300,10.3000,10.3700,48402225,513402309.0000,3,10.890501,1,-1.332068,18.789306,2.041573,7.244275,-47.630793,0
2019-04-26,sh.600928,10.2000,10.2600,9.9900,10.0000,35108160,355471760.0000,3,7.899336,1,-3.567984,18.118906,1.968730,6.985800,-45.931334,0
2019-04-29,sh.600928,9.9900,10.0900,9.1300,9.2700,42570995,407724910.0000,3,9.578474,1,-7.299995,16.796226,1.825013,6.475837,-42.578346,0
2019-04-30,sh.600928,9.2800,9.3800,9.1300,9.2000,27042420,249992983.0000,3,6.084544,1,-0.755131,16.669394,1.811232,6.426936,-42.256827,0
2019-05-06,sh.600928,8.8700,9.7600,8.5500,9.3700,58614934,537555310.0000,3,13.188360,1,1.847827,16.977415,1.844700,6.545695,-43.037660,0
2019-05-07,sh.600928,9.2500,9.6100,9.0300,9.5100,55411580,517709416.0000,3,12.467605,1,1.494134,17.231080,1.872262,6.643496,-43.680698,0
2019-05-08,sh.600928,9.2000,9.4300,9.0600,9.1400,34261215,316327491.0000,3,7.708773,1,-3.890640,16.560680,1.799419,6.385022,-41.981239,0
2019-05-09,sh.600928,9.0600,9.1700,8.9200,8.9400,22456235,203256619.0000,3,5.052653,1,-2.188192,16.198302,1.760045,6.245306,-41.062612,0
2019-05-10,sh.600928,9.1000,9.2800,8.7400,9.1700,35604167,324636943.0000,3,8.010938,1,2.572713,16.615037,1.805326,6.405979,-42.119033,0
2019-05-13,sh.600928,9.0300,9.1200,8.9800,9.0200,17905284,161969061.0000,3,4.028689,1,-1.635765,16.343253,1.775795,6.301192,-41.430063,0
2019-05-14,sh.600928,8.9100,9.2200,8.9000,9.1200,27134685,246305291.0000,3,6.105304,1,1.108641,16.524442,1.795482,6.371050,-41.889376,0
2019-05-15,sh.600928,9.1200,9.1700,9.0700,9.1500,25128347,229361846.0000,3,5.653878,1,0.328944,16.578799,1.801388,6.392007,-42.027170,0
2019-05-16,sh.600928,9.1600,9.1900,9.1000,9.1400,19998417,182708453.0000,3,4.499644,1,-0.109282,16.560680,1.799419,6.385022,-41.981239,0
2019-05-17,sh.600928,9.1500,9.1700,8.5600,8.6500,33630005,298415443.0000,3,7.566751,1,-5.361058,15.672854,1.702952,6.042717,-39.730604,0
2019-05-20,sh.600928,8.5600,8.5600,8.1200,8.2400,23414483,194059842.0000,3,5.268259,1,-4.739883,14.929979,1.622234,5.756300,-37.847419,0
