date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601009,11.0800,11.3600,11.0500,11.2500,77165137,863437104.0000,3,1.338759,1,3.782286,8.338242,1.316994,2.497959,4.471650,0
2017-01-04,sh.601009,11.2000,11.5100,11.1600,11.3800,58656155,669199056.0000,3,1.017642,1,1.155557,8.434595,1.332213,2.526825,4.523322,0
2017-01-05,sh.601009,11.3900,11.4400,11.3400,11.4000,31710407,361042640.0000,3,0.550152,1,0.175743,8.449418,1.334554,2.531266,4.531272,0
2017-01-06,sh.601009,11.3800,11.4000,11.1200,11.2100,26786454,301038080.0000,3,0.464725,1,-1.666663,8.308595,1.312311,2.489078,4.455751,0
2017-01-09,sh.601009,11.2500,11.4100,11.1300,11.3300,27633673,312252336.0000,3,0.479424,1,1.070472,8.397536,1.326359,2.515723,4.503448,0
2017-01-10,sh.601009,11.2900,11.3600,11.1500,11.1700,18227369,205005114.0000,3,0.316232,1,-1.412179,8.278948,1.307629,2.480196,4.439852,0
2017-01-11,sh.601009,11.2000,11.2200,10.9900,11.0000,27203572,301563984.0000,3,0.471962,1,-1.521934,8.152948,1.287727,2.442449,4.372280,0
2017-01-12,sh.601009,11.0400,11.1200,10.9200,11.0200,20200913,222630064.0000,3,0.350471,1,0.181822,8.167771,1.290069,2.446890,4.380230,0
2017-01-13,sh.601009,11.0500,11.3600,10.9700,11.1300,39126832,436744608.0000,3,0.678822,1,0.998182,8.249301,1.302946,2.471315,4.423952,0
2017-01-16,sh.601009,11.1400,11.3500,11.0300,11.3000,71514583,800732256.0000,3,1.240726,1,1.527404,8.375301,1.322847,2.509061,4.491524,0
2017-01-17,sh.601009,11.2200,11.3500,11.1700,11.2900,33720943,380761312.0000,3,0.585034,1,-0.088498,8.367889,1.321677,2.506841,4.487549,0
2017-01-18,sh.601009,11.2400,11.5100,11.2200,11.4900,35405883,404426448.0000,3,0.614266,1,1.771477,8.516124,1.345090,2.551249,4.567045,0
2017-01-19,sh.601009,11.4900,11.6300,11.4100,11.4800,20571671,236711599.0000,3,0.356904,1,-0.087034,8.508713,1.343919,2.549029,4.563070,0
2017-01-20,sh.601009,11.4500,11.5200,11.4000,11.4900,29882774,342110992.0000,3,0.518444,1,0.087110,8.516124,1.345090,2.551249,4.567045,0
2017-01-23,sh.601009,11.4800,11.4800,11.2700,11.3000,35101172,399312288.0000,3,0.608980,1,-1.653608,8.375301,1.322847,2.509061,4.491524,0
2017-01-24,sh.601009,11.3100,11.5800,11.2600,11.5600,42373942,484355664.0000,3,0.735157,1,2.300887,8.568007,1.353285,2.566792,4.594869,0
2017-01-25,sh.601009,11.5100,11.5900,11.4100,11.5400,28514068,328157792.0000,3,0.494698,1,-0.173014,8.553183,1.350943,2.562351,4.586919,0
2017-01-26,sh.601009,11.5500,11.6200,11.4800,11.4900,25535913,295497600.0000,3,0.443029,1,-0.433277,8.516124,1.345090,2.551249,4.567045,0
2017-02-03,sh.601009,11.5100,11.5100,11.3400,11.3800,20005125,228001798.0000,3,0.347074,1,-0.957351,8.434595,1.332213,2.526825,4.523322,0
2017-02-06,sh.601009,11.3900,11.4300,11.1300,11.2500,48438146,544281248.0000,3,0.840367,1,-1.142356,8.338242,1.316994,2.497959,4.471650,0
2017-02-07,sh.601009,11.2300,11.4000,11.2000,11.4000,36097978,407352240.0000,3,0.626274,1,1.333330,8.449418,1.334554,2.531266,4.531272,0
2017-02-08,sh.601009,11.3500,11.3900,11.2800,11.3800,24205668,274120480.0000,3,0.419951,1,-0.175434,8.434595,1.332213,2.526825,4.523322,0
2017-02-09,sh.601009,11.3800,11.4600,11.2800,11.3200,31680619,360108064.0000,3,0.549636,1,-0.527244,8.390124,1.325189,2.513502,4.499474,0
2017-02-10,sh.601009,11.3200,11.5900,11.3200,11.5700,53698603,618241392.0000,3,0.931632,1,2.208481,8.575418,1.354455,2.569012,4.598844,0
2017-02-13,sh.601009,11.5800,12.0000,11.4000,11.8700,71750280,847681312.0000,3,1.244815,1,2.592914,8.797772,1.389575,2.635625,4.718088,0
2017-02-14,sh.601009,11.8600,11.9400,11.7400,11.7900,28685037,339106608.0000,3,0.497664,1,-0.673967,8.738477,1.380210,2.617861,4.686289,0
2017-02-15,sh.601009,11.8000,12.2400,11.8000,12.0200,79202131,955440800.0000,3,1.374099,1,1.950810,8.908948,1.407135,2.668931,4.777710,0
