date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601128,10.4000,10.5900,10.3700,10.4900,7219894,75878537.0000,3,3.248213,1,1.157183,23.048421,2.387048,5.360980,-43.617784,0
2017-01-04,sh.601128,10.5200,10.5800,10.3700,10.5100,10079920,105665440.0000,3,4.534932,1,0.190662,23.092364,2.391599,5.371201,-43.700944,0
2017-01-05,sh.601128,10.4800,10.6000,10.4600,10.5000,8058087,84920765.0000,3,3.625314,1,-0.095150,23.070392,2.389324,5.366090,-43.659364,0
2017-01-06,sh.601128,10.4800,10.4900,10.3000,10.3300,8371953,86841642.0000,3,3.766522,1,-1.619048,22.696872,2.350640,5.279211,-42.952498,0
2017-01-09,sh.601128,10.3400,10.4100,10.2400,10.3200,6132892,63194518.0000,3,2.759173,1,-0.096808,22.674900,2.348364,5.274100,-42.910918,0
2017-01-10,sh.601128,10.3000,10.3000,10.1800,10.2000,5402924,55299738.0000,3,2.430763,1,-1.162790,22.411238,2.321058,5.212774,-42.411954,0
2017-01-11,sh.601128,10.2400,10.2500,10.0500,10.1200,5656401,57458790.0000,3,2.544801,1,-0.784313,21.838842,2.302853,5.059381,-42.079311,0
2017-01-12,sh.601128,10.1000,10.2000,10.0200,10.0600,4772491,48317327.0000,3,2.147132,1,-0.592880,21.709362,2.289200,5.029384,-41.829829,0
2017-01-13,sh.601128,10.0600,10.1600,9.9800,10.0100,7635476,76738882.0000,3,3.435182,1,-0.497020,21.601463,2.277822,5.004388,-41.621927,0
2017-01-16,sh.601128,10.0000,10.0500,9.2600,9.6000,11281379,108879910.0000,3,5.075465,1,-4.095902,20.716688,2.184525,4.799413,-39.917133,0
2017-01-17,sh.601128,9.5000,9.6400,9.2700,9.5500,8260486,77974226.0000,3,3.716373,1,-0.520835,20.608788,2.173147,4.774416,-39.709231,0
2017-01-18,sh.601128,9.5000,9.5300,9.1700,9.1900,11032879,102552699.0000,3,4.963666,1,-3.769640,19.831913,2.091227,4.594438,-38.212339,0
2017-01-19,sh.601128,9.1000,9.2100,8.9200,9.1000,9192952,83501601.0000,3,4.135887,1,-0.979317,19.637694,2.070747,4.549443,-37.838116,0
2017-01-20,sh.601128,9.0500,9.4000,9.0000,9.3000,9983023,92273323.0000,3,4.491338,1,2.197800,20.069291,2.116258,4.649431,-38.669723,0
2017-01-23,sh.601128,9.2600,9.4100,9.2600,9.3100,5417942,50584348.0000,3,2.437519,1,0.107529,20.090871,2.118534,4.654430,-38.711303,0
2017-01-24,sh.601128,9.2800,9.3700,9.2100,9.2300,4524635,41924239.0000,3,2.035622,1,-0.859301,19.918232,2.100330,4.614435,-38.378660,0
2017-01-25,sh.601128,9.2100,9.2800,9.2000,9.2400,3308628,30564977.0000,3,1.488544,1,0.108345,19.939812,2.102605,4.619435,-38.420240,0
2017-01-26,sh.601128,9.2600,9.3900,9.2400,9.3300,5067641,47275327.0000,3,2.279920,1,0.974028,20.134031,2.123085,4.664429,-38.794464,0
2017-02-03,sh.601128,9.3600,9.3600,9.1800,9.2000,4850703,44764909.0000,3,2.182320,1,-1.393356,19.853493,2.093503,4.599437,-38.253919,0
2017-02-06,sh.601128,9.2000,9.4400,9.1900,9.4300,7962780,74226002.0000,3,3.582436,1,2.500005,20.349830,2.145840,4.714423,-39.210267,0
2017-02-07,sh.601128,9.4000,9.4900,9.2300,9.3200,9117568,85331705.0000,3,4.101972,1,-1.166496,20.112451,2.120809,4.659430,-38.752883,0
2017-02-08,sh.601128,9.2800,9.5900,9.1500,9.5800,15460492,145258486.0000,3,6.955638,1,2.789702,20.673528,2.179974,4.789414,-39.833972,0
2017-02-09,sh.601128,9.5000,9.6500,9.4500,9.5900,11450822,109340759.0000,3,5.151697,1,0.104386,20.695108,2.182249,4.794413,-39.875553,0
2017-02-10,sh.601128,9.6000,10.2500,9.5600,9.9400,28357500,284458000.0000,3,12.757971,1,3.649629,21.450404,2.261893,4.969392,-41.330865,0
2017-02-13,sh.601128,10.1500,10.9300,10.1500,10.5600,46298835,493571776.0000,3,20.829735,1,6.237433,22.788357,2.402977,5.279354,-43.908846,0
2017-02-14,sh.601128,10.7500,10.9800,10.2500,10.6000,35660423,379366480.0000,3,16.043539,1,0.378787,22.874676,2.412079,5.299351,-44.075168,0
2017-02-15,sh.601128,10.5000,11.6600,10.4500,11.5800,78184343,885480304.0000,3,35.174949,1,9.245278,24.989505,2.635083,5.789291,-48.150042,0
2017-02-16,sh.601128,11.2800,12.1800,11.1800,11.6700,69547782,814715648.0000,3,31.289381,1,0.777203,25.183724,2.655563,5.834286,-48.524265,0
2017-02-17,sh.601128,11.4500,12.1000,11.2000,11.3100,45474318,529294000.0000,3,20.458787,1,-3.084830,24.406848,2.573643,5.654308,-47.027372,0
2017-02-20,sh.601128,11.1100,12.4400,10.8000,12.4400,67769169,813085104.0000,3,30.489187,1,9.991150,26.845375,2.830780,6.219239,-51.725951,0
2017-02-21,sh.601128,12.8500,13.1800,12.1100,12.2700,66179872,832565952.0000,3,29.774166,1,-1.366552,26.478517,2.792096,6.134249,-51.019086,0
2017-02-22,sh.601128,12.0000,12.0800,11.5000,11.6600,42823186,502048160.0000,3,19.266049,1,-4.971480,25.162144,2.653287,5.829287,-48.482684,0
2017-02-23,sh.601128,11.6500,11.7400,11.4300,11.6100,22981652,266582877.0000,3,10.339390,1,-0.428818,25.054244,2.641910,5.804290,-48.274783,0
2017-02-24,sh.601128,11.6000,11.9200,11.3600,11.7700,27624963,320631600.0000,3,12.428405,1,1.378129,25.399523,2.678318,5.884280,-48.940068,0
2017-02-27,sh.601128,11.6000,11.9800,11.4300,11.7700,30748831,360919056.0000,3,13.833826,1,0.000000,25.399523,2.678318,5.884280,-48.940068,0
2017-02-28,sh.601128,11.6000,12.9500,11.5700,12.9500,73868434,946932352.0000,3,33.233232,1,10.025480,27.945949,2.946833,6.474208,-53.846549,0
2017-03-01,sh.601128,12.9800,13.6100,12.5000,12.6500,86893507,1140606464.0000,3,39.093181,1,-2.316604,27.298552,2.878566,6.324226,-52.599139,0
2017-03-02,sh.601128,12.7500,13.5800,12.4500,13.2900,67826329,887638592.0000,3,30.514903,1,5.059291,28.679665,3.024201,6.644187,-55.260281,0
2017-03-03,sh.601128,13.0500,13.2200,12.6000,12.7300,42218464,545597936.0000,3,18.993986,1,-4.213698,27.471191,2.896771,6.364221,-52.931781,0
2017-03-06,sh.601128,12.6000,13.6000,12.2400,12.9600,38789220,499592672.0000,3,17.451177,1,1.806760,27.967529,2.949108,6.479207,-53.888129,0
