date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601166,16.1400,16.3600,16.1400,16.2400,48199929,782612592.0000,3,0.252987,1,0.619581,5.841450,0.972755,1.925964,0.827452,0
2017-01-04,sh.601166,16.2400,16.3800,16.2000,16.3200,42410084,692194080.0000,3,0.222598,1,0.492610,5.870226,0.977547,1.935451,0.831528,0
2017-01-05,sh.601166,16.3200,16.3900,16.3200,16.3300,27695726,453017568.0000,3,0.145367,1,0.061276,5.873823,0.978146,1.936637,0.832038,0
2017-01-06,sh.601166,16.3000,16.3800,16.1600,16.1700,27775310,451178048.0000,3,0.145784,1,-0.979791,5.816272,0.968562,1.917662,0.823885,0
2017-01-09,sh.601166,16.1900,16.2900,16.1700,16.2400,25154829,408435456.0000,3,0.132030,1,0.432899,5.841450,0.972755,1.925964,0.827452,0
2017-01-10,sh.601166,16.2400,16.2800,16.1900,16.2200,22350495,362840096.0000,3,0.117311,1,-0.123156,5.834257,0.971557,1.923592,0.826433,0
2017-01-11,sh.601166,16.2500,16.2800,16.1300,16.1500,25058385,405846592.0000,3,0.131524,1,-0.431564,5.809078,0.967364,1.915290,0.822866,0
2017-01-12,sh.601166,16.1500,16.2000,16.1100,16.1200,19419846,313786704.0000,3,0.101929,1,-0.185751,5.798287,0.965567,1.911733,0.821338,0
2017-01-13,sh.601166,16.1200,16.2900,16.0500,16.2600,48681502,788212800.0000,3,0.255515,1,0.868483,5.848644,0.973953,1.928336,0.828471,0
2017-01-16,sh.601166,16.2300,16.5900,16.1800,16.5500,132750624,2181130224.0000,3,0.696768,1,1.783512,5.952956,0.991323,1.962728,0.843247,0
2017-01-17,sh.601166,16.4800,16.5800,16.4100,16.4200,42783043,705812624.0000,3,0.224555,1,-0.785493,5.906196,0.983537,1.947311,0.836623,0
2017-01-18,sh.601166,16.4600,16.6800,16.4300,16.6500,45018120,747244768.0000,3,0.236287,1,1.400728,5.988926,0.997313,1.974587,0.848342,0
2017-01-19,sh.601166,16.6200,16.7500,16.6200,16.6400,36688891,612445056.0000,3,0.192569,1,-0.060061,5.985329,0.996714,1.973401,0.847833,0
2017-01-20,sh.601166,16.6700,16.8300,16.6400,16.7800,44233056,740437408.0000,3,0.232166,1,0.841354,6.035686,1.005100,1.990005,0.854966,0
2017-01-23,sh.601166,16.8200,16.8500,16.6600,16.7300,37060810,620970912.0000,3,0.194521,1,-0.297981,6.017701,1.002105,1.984075,0.852418,0
2017-01-24,sh.601166,16.7500,16.9500,16.6900,16.9200,52779298,887774448.0000,3,0.277023,1,1.135688,6.086043,1.013486,2.006608,0.862099,0
