date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601169,9.7700,9.9400,9.7500,9.8800,19048727,188196613.0000,3,0.125266,1,1.229507,8.508436,1.216436,3.169461,5.965060,0
2017-01-04,sh.601169,9.8600,9.9500,9.8300,9.8700,18403976,181748249.0000,3,0.121026,1,-0.101217,8.499824,1.215204,3.166253,5.959022,0
2017-01-05,sh.601169,9.9000,9.9400,9.8600,9.8800,18552723,183642066.0000,3,0.122004,1,0.101319,8.508436,1.216436,3.169461,5.965060,0
2017-01-06,sh.601169,9.8900,9.9000,9.8300,9.8300,10475063,103173111.0000,3,0.068885,1,-0.506075,8.465377,1.210280,3.153421,5.934872,0
2017-01-09,sh.601169,9.8900,9.9000,9.7800,9.8600,15003847,147626549.0000,3,0.098666,1,0.305185,8.491212,1.213973,3.163045,5.952985,0
2017-01-10,sh.601169,9.8400,9.8800,9.8100,9.8600,12004703,118186471.0000,3,0.078944,1,0.000000,8.491212,1.213973,3.163045,5.952985,0
2017-01-11,sh.601169,9.9000,9.9000,9.7600,9.8000,16154346,158563993.0000,3,0.106232,1,-0.608514,8.439541,1.206586,3.143797,5.916760,0
2017-01-12,sh.601169,9.8100,9.8500,9.7300,9.8000,10222687,100298990.0000,3,0.067225,1,0.000000,8.439541,1.206586,3.143797,5.916760,0
2017-01-13,sh.601169,9.7700,9.9100,9.7700,9.8900,27708600,273627696.0000,3,0.182213,1,0.918369,8.517047,1.217667,3.172669,5.971097,0
2017-01-16,sh.601169,9.8900,10.0900,9.8500,10.0600,63885135,640006656.0000,3,0.420112,1,1.718909,8.663448,1.238597,3.227204,6.073735,0
2017-01-17,sh.601169,10.0600,10.0800,9.9400,9.9600,25268648,252748292.0000,3,0.166168,1,-0.994039,8.577330,1.226285,3.195125,6.013360,0
2017-01-18,sh.601169,9.9700,10.0600,9.9500,10.0300,12968847,129931204.0000,3,0.085284,1,0.702808,8.637612,1.234904,3.217580,6.055622,0
2017-01-19,sh.601169,9.9900,10.1200,9.9900,10.0100,14996698,150792864.0000,3,0.098619,1,-0.199397,8.620389,1.232441,3.211164,6.043547,0
2017-01-20,sh.601169,10.0200,10.0900,9.9900,10.0300,23054885,231418839.0000,3,0.151610,1,0.199795,8.637612,1.234904,3.217580,6.055622,0
2017-01-23,sh.601169,10.0800,10.0900,10.0200,10.0800,12761234,128437421.0000,3,0.083919,1,0.498506,8.680671,1.241060,3.233620,6.085810,0
2017-01-24,sh.601169,10.0900,10.1100,10.0200,10.0900,14550464,146440212.0000,3,0.095685,1,0.099209,8.689283,1.242291,3.236828,6.091847,0
2017-01-25,sh.601169,10.0600,10.0900,10.0200,10.0700,9481754,95282866.0000,3,0.062353,1,-0.198221,8.672059,1.239829,3.230412,6.079772,0
2017-01-26,sh.601169,10.0700,10.1300,10.0400,10.0900,12642179,127667693.0000,3,0.083136,1,0.198614,8.689283,1.242291,3.236828,6.091847,0
2017-02-03,sh.601169,10.1100,10.1200,10.0100,10.0200,11321827,113609153.0000,3,0.074453,1,-0.693753,8.629000,1.233672,3.214372,6.049585,0
2017-02-06,sh.601169,10.0500,10.0600,10.0000,10.0300,13505795,135607205.0000,3,0.088815,1,0.099793,8.637612,1.234904,3.217580,6.055622,0
2017-02-07,sh.601169,10.0200,10.0600,10.0100,10.0300,11969415,120038628.0000,3,0.078712,1,0.000000,8.637612,1.234904,3.217580,6.055622,0
2017-02-08,sh.601169,10.0100,10.0400,9.9100,10.0200,16114398,160627963.0000,3,0.105969,1,-0.099694,8.629000,1.233672,3.214372,6.049585,0
2017-02-09,sh.601169,10.0000,10.0200,9.9500,9.9500,15198893,151694550.0000,3,0.099949,1,-0.698609,8.568718,1.225054,3.191917,6.007322,0
2017-02-10,sh.601169,9.9900,9.9900,9.9300,9.9600,21266779,211767743.0000,3,0.139852,1,0.100505,8.577330,1.226285,3.195125,6.013360,0
2017-02-13,sh.601169,9.9700,10.0600,9.9600,10.0500,26839555,268887296.0000,3,0.176499,1,0.903616,8.654836,1.237366,3.223996,6.067697,0
2017-02-14,sh.601169,10.0500,10.0600,9.9400,9.9700,20902122,208693297.0000,3,0.137454,1,-0.796019,8.585942,1.227516,3.198333,6.019397,0
2017-02-15,sh.601169,10.0000,10.1400,9.9700,10.0800,34931966,351426480.0000,3,0.229715,1,1.103306,8.680671,1.241060,3.233620,6.085810,0
2017-02-16,sh.601169,10.0500,10.1600,10.0500,10.1500,26877856,272084128.0000,3,0.176750,1,0.694441,8.740954,1.249678,3.256076,6.128072,0
2017-02-17,sh.601169,10.1400,10.1500,10.0700,10.0800,20870030,211049586.0000,3,0.137243,1,-0.689652,8.680671,1.241060,3.233620,6.085810,0
2017-02-20,sh.601169,10.0900,10.2400,10.0800,10.1900,65987676,672279488.0000,3,0.433939,1,1.091266,8.775401,1.254603,3.268908,6.152222,0
2017-02-21,sh.601169,10.1700,10.2400,10.1500,10.1700,36182091,369040176.0000,3,0.237936,1,-0.196266,8.758177,1.252141,3.262492,6.140147,0
2017-02-22,sh.601169,10.1700,10.2000,10.1000,10.1300,22605115,229345811.0000,3,0.148653,1,-0.393313,8.723730,1.247216,3.249660,6.115997,0
