date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601229,23.3300,23.7800,23.3100,23.5900,20644985,487160272.0000,3,3.438252,1,1.331613,10.114356,1.370500,4.028707,8.008172,0
2017-01-04,sh.601229,23.5900,23.8000,23.5500,23.7200,17730203,420003568.0000,3,2.952819,1,0.551077,10.170095,1.378053,4.050908,8.052304,0
2017-01-05,sh.601229,23.7400,23.7600,23.4700,23.5000,17999621,424105632.0000,3,2.997689,1,-0.927485,10.075768,1.365272,4.013336,7.977619,0
2017-01-06,sh.601229,23.4500,23.5600,23.1200,23.1600,20938854,487582608.0000,3,3.487194,1,-1.446809,9.929991,1.345519,3.955271,7.862199,0
2017-01-09,sh.601229,23.1200,23.3000,23.0800,23.2400,12181330,282702128.0000,3,2.028700,1,0.345423,9.964292,1.350167,3.968933,7.889356,0
2017-01-10,sh.601229,23.2300,23.2300,22.9600,22.9800,17279654,398376720.0000,3,2.877784,1,-1.118762,9.852815,1.335061,3.924531,7.801093,0
2017-01-11,sh.601229,22.9100,22.9400,22.4500,22.5400,25752050,584142784.0000,3,4.288792,1,-1.914703,9.664162,1.309499,3.849387,7.651725,0
2017-01-12,sh.601229,22.4800,22.6100,22.2800,22.2900,15848049,356016992.0000,3,2.639362,1,-1.109139,9.556973,1.294975,3.806692,7.566857,0
2017-01-13,sh.601229,22.2500,22.3000,21.9000,22.0400,23061966,509384096.0000,3,3.840780,1,-1.121579,9.449784,1.280451,3.763997,7.481989,0
2017-01-16,sh.601229,22.0500,22.6400,21.8800,22.4200,40341635,897626848.0000,3,6.718567,1,1.724134,9.406077,1.302527,3.876293,7.610988,0
2017-01-17,sh.601229,22.2400,22.5500,22.0800,22.4500,22655072,504887168.0000,3,3.773016,1,0.133812,9.418663,1.304270,3.881480,7.621173,0
2017-01-18,sh.601229,22.3900,22.4600,22.2600,22.2900,16158086,361233600.0000,3,2.690996,1,-0.712694,9.351537,1.294975,3.853816,7.566857,0
2017-01-19,sh.601229,22.2300,22.7300,22.1200,22.5500,25788922,579872384.0000,3,4.294932,1,1.166435,9.460617,1.310080,3.898769,7.655120,0
