date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601328,5.7500,5.8300,5.7500,5.8100,94310192,545967088.0000,3,0.240275,1,0.693240,6.433460,0.776098,2.215876,-4.904365,0
2017-01-04,sh.601328,5.8000,5.8500,5.7800,5.8200,100682909,585133552.0000,3,0.256511,1,0.172121,6.444533,0.777434,2.219690,-4.912807,0
2017-01-05,sh.601328,5.8200,5.8300,5.7900,5.8000,55040486,319892032.0000,3,0.140227,1,-0.343642,6.422387,0.774763,2.212062,-4.895924,0
2017-01-06,sh.601328,5.8000,5.8000,5.7600,5.7800,68754796,397269904.0000,3,0.175168,1,-0.344827,6.400241,0.772091,2.204434,-4.879042,0
2017-01-09,sh.601328,5.7900,5.8100,5.7700,5.7900,47079435,272693520.0000,3,0.119945,1,0.173006,6.411314,0.773427,2.208248,-4.887483,0
2017-01-10,sh.601328,5.7900,5.8100,5.7700,5.7900,46713527,270520288.0000,3,0.119013,1,0.000000,6.411314,0.773427,2.208248,-4.887483,0
2017-01-11,sh.601328,5.8000,5.8200,5.7800,5.7900,56394175,327347424.0000,3,0.143676,1,0.000000,6.411314,0.773427,2.208248,-4.887483,0
2017-01-12,sh.601328,5.7900,5.8200,5.7800,5.7900,44728263,259478659.0000,3,0.113955,1,0.000000,6.411314,0.773427,2.208248,-4.887483,0
2017-01-13,sh.601328,5.8000,5.8700,5.7800,5.8400,93630631,546197728.0000,3,0.238544,1,0.863561,6.466679,0.780106,2.227317,-4.929689,0
2017-01-16,sh.601328,5.8400,5.9600,5.8200,5.9200,209973582,1238720080.0000,3,0.534953,1,1.369862,6.555264,0.790792,2.257829,-4.997219,0
2017-01-17,sh.601328,5.9000,5.9500,5.8800,5.9000,56611375,334321904.0000,3,0.144230,1,-0.337838,6.533118,0.788121,2.250201,-4.980337,0
2017-01-18,sh.601328,5.9100,5.9300,5.8900,5.9300,56726520,335719696.0000,3,0.144523,1,0.508470,6.566337,0.792128,2.261642,-5.005660,0
2017-01-19,sh.601328,5.9200,6.0000,5.9000,5.9400,65682712,391297264.0000,3,0.167341,1,0.168638,6.577410,0.793464,2.265456,-5.014102,0
2017-01-20,sh.601328,5.9400,6.0100,5.9000,5.9700,66374597,394678032.0000,3,0.169104,1,0.505046,6.610630,0.797471,2.276898,-5.039425,0
2017-01-23,sh.601328,5.9800,6.0000,5.9000,5.9300,76860673,457737792.0000,3,0.195819,1,-0.670016,6.566337,0.792128,2.261642,-5.005660,0
2017-01-24,sh.601328,5.9400,6.0000,5.9300,5.9800,70558075,420952480.0000,3,0.179762,1,0.843174,6.621703,0.798807,2.280712,-5.047867,0
2017-01-25,sh.601328,5.9700,6.0000,5.9500,5.9800,55538967,331827696.0000,3,0.141497,1,0.000000,6.621703,0.798807,2.280712,-5.047867,0
2017-01-26,sh.601328,5.9900,6.0700,5.9800,6.0200,63626910,383683744.0000,3,0.162103,1,0.668896,6.665995,0.804150,2.295968,-5.081632,0
2017-02-03,sh.601328,6.0400,6.0400,5.9600,5.9700,37744692,226024470.0000,3,0.096163,1,-0.830568,6.610630,0.797471,2.276898,-5.039425,0
2017-02-06,sh.601328,5.9800,6.0200,5.9600,5.9800,44545327,266855216.0000,3,0.113489,1,0.167508,6.621703,0.798807,2.280712,-5.047867,0
2017-02-07,sh.601328,5.9800,6.0000,5.9300,5.9500,49516289,295026512.0000,3,0.126153,1,-0.501676,6.588483,0.794800,2.269270,-5.022543,0
2017-02-08,sh.601328,5.9500,5.9700,5.9300,5.9600,38739565,230631925.0000,3,0.098697,1,0.168071,6.599556,0.796135,2.273084,-5.030984,0
2017-02-09,sh.601328,5.9600,6.0200,5.9600,6.0100,43595589,261535786.0000,3,0.111069,1,0.838929,6.654922,0.802814,2.292154,-5.073190,0
2017-02-10,sh.601328,6.0100,6.0400,6.0000,6.0300,51703348,311532880.0000,3,0.131725,1,0.332778,6.677068,0.805486,2.299781,-5.090073,0
2017-02-13,sh.601328,6.0400,6.0900,6.0400,6.0600,63657396,386336528.0000,3,0.162181,1,0.497508,6.710287,0.809493,2.311223,-5.115397,0
2017-02-14,sh.601328,6.0600,6.0700,6.0300,6.0600,37417916,226495436.0000,3,0.095330,1,0.000000,6.710287,0.809493,2.311223,-5.115397,0
2017-02-15,sh.601328,6.0600,6.1600,6.0500,6.1300,95688205,586432208.0000,3,0.243786,1,1.155118,6.787799,0.818844,2.337920,-5.174485,0
2017-02-16,sh.601328,6.1600,6.2000,6.1200,6.1600,71030179,437353968.0000,3,0.180965,1,0.489392,6.821018,0.822851,2.349362,-5.199809,0
2017-02-17,sh.601328,6.1700,6.2100,6.1200,6.1200,61584915,379535696.0000,3,0.156901,1,-0.649350,6.776726,0.817508,2.334107,-5.166044,0
2017-02-20,sh.601328,6.1200,6.3200,6.1100,6.2400,149472631,934923296.0000,3,0.380814,1,1.960783,6.909603,0.833538,2.379873,-5.267339,0
2017-02-21,sh.601328,6.2500,6.4300,6.2500,6.3000,115804579,734396720.0000,3,0.295037,1,0.961545,6.976041,0.841552,2.402757,-5.317986,0
