date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601398,4.4000,4.4300,4.3900,4.4300,104161632,460087744.0000,3,0.038634,1,0.453514,5.676116,0.850584,2.285605,6.341468,0
2017-01-04,sh.601398,4.4200,4.4400,4.4100,4.4300,118923425,526408816.0000,3,0.044109,1,0.000000,5.676116,0.850584,2.285605,6.341468,0
2017-01-05,sh.601398,4.4300,4.4500,4.4200,4.4400,87356137,387580736.0000,3,0.032401,1,0.225739,5.688929,0.852504,2.290764,6.355783,0
2017-01-06,sh.601398,4.4400,4.4500,4.4300,4.4400,87008191,386138112.0000,3,0.032272,1,0.000000,5.688929,0.852504,2.290764,6.355783,0
2017-01-09,sh.601398,4.4500,4.4800,4.4300,4.4600,117454094,523539392.0000,3,0.043564,1,0.450450,5.714554,0.856344,2.301083,6.384413,0
2017-01-10,sh.601398,4.4500,4.4700,4.4400,4.4600,63663257,283646224.0000,3,0.023613,1,0.000000,5.714554,0.856344,2.301083,6.384413,0
2017-01-11,sh.601398,4.4600,4.4800,4.4500,4.4700,52395427,233898107.0000,3,0.019434,1,0.224210,5.727367,0.858264,2.306242,6.398727,0
2017-01-12,sh.601398,4.4600,4.4700,4.4400,4.4700,62166279,277258304.0000,3,0.023058,1,0.000000,5.727367,0.858264,2.306242,6.398727,0
2017-01-13,sh.601398,4.4500,4.4900,4.4400,4.4900,93851289,419357040.0000,3,0.034810,1,0.447427,5.752993,0.862104,2.316561,6.427357,0
2017-01-16,sh.601398,4.4700,4.5800,4.4400,4.5500,302311392,1364412976.0000,3,0.112128,1,1.336312,5.829871,0.873624,2.347517,6.513246,0
2017-01-17,sh.601398,4.5200,4.5400,4.5100,4.5300,90022291,407014736.0000,3,0.033390,1,-0.439560,5.804245,0.869784,2.337198,6.484616,0
2017-01-18,sh.601398,4.5200,4.5400,4.5100,4.5300,68290432,308822016.0000,3,0.025329,1,0.000000,5.804245,0.869784,2.337198,6.484616,0
2017-01-19,sh.601398,4.5300,4.5600,4.5000,4.5300,110598840,500585776.0000,3,0.041021,1,0.000000,5.804245,0.869784,2.337198,6.484616,0
2017-01-20,sh.601398,4.5200,4.5300,4.5000,4.5200,67870182,306500368.0000,3,0.025173,1,-0.220756,5.791432,0.867864,2.332039,6.470302,0
2017-01-23,sh.601398,4.5200,4.5300,4.5100,4.5300,77011069,348112272.0000,3,0.028564,1,0.221244,5.804245,0.869784,2.337198,6.484616,0
2017-01-24,sh.601398,4.5200,4.5700,4.5200,4.5500,117283449,532631888.0000,3,0.043501,1,0.441501,5.829871,0.873624,2.347517,6.513246,0
2017-01-25,sh.601398,4.5500,4.5700,4.5300,4.5600,68255713,310690176.0000,3,0.025316,1,0.219775,5.842684,0.875544,2.352677,6.527561,0
2017-01-26,sh.601398,4.5600,4.6000,4.5600,4.6000,84502233,386971696.0000,3,0.031342,1,0.877192,5.893935,0.883225,2.373314,6.584820,0
2017-02-03,sh.601398,4.5900,4.6000,4.5500,4.5600,53137727,242482106.0000,3,0.019709,1,-0.869564,5.842684,0.875544,2.352677,6.527561,0
2017-02-06,sh.601398,4.5700,4.5700,4.5400,4.5600,55128293,251005935.0000,3,0.020447,1,0.000000,5.842684,0.875544,2.352677,6.527561,0
2017-02-07,sh.601398,4.5500,4.5600,4.5400,4.5500,68414436,311360304.0000,3,0.025375,1,-0.219293,5.829871,0.873624,2.347517,6.513246,0
2017-02-08,sh.601398,4.5500,4.5600,4.5100,4.5600,55511309,251930028.0000,3,0.020589,1,0.219775,5.842684,0.875544,2.352677,6.527561,0
