date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-12-10,sh.601658,5.6000,5.6500,5.5300,5.6100,1619472912,9048900573.0000,3,73.673700,1,2.000000,8.074895,1.045026,1.758561,-13.065255,0
2019-12-11,sh.601658,5.5800,5.6400,5.5500,5.6300,463386272,2586905784.0000,3,21.080600,1,0.356500,8.103682,1.048752,1.764831,-13.111834,0
2019-12-12,sh.601658,5.6000,5.6100,5.5600,5.6000,224711848,1255128504.0000,3,7.555900,1,-0.532900,8.133045,1.052552,1.771226,-13.159344,0
2019-12-13,sh.601658,5.6100,5.6100,5.5800,5.5900,157036724,878386009.0000,3,5.280300,1,-0.178600,8.118522,1.050672,1.768063,-13.135845,0
2019-12-16,sh.601658,5.5900,5.5900,5.5600,5.5800,143874990,801426854.0000,3,4.837800,1,-0.178900,8.103999,1.048793,1.764900,-13.112346,0
2019-12-17,sh.601658,5.5800,6.1400,5.5600,5.8500,456119856,2651899251.0000,3,15.337000,1,4.838700,8.496128,1.099541,1.850298,-13.746814,0
2019-12-18,sh.601658,5.7800,5.8400,5.7100,5.7200,220064205,1268629909.0000,3,7.399600,1,-2.222200,8.307325,1.075107,1.809180,-13.441330,0
2019-12-19,sh.601658,5.7300,5.8300,5.7000,5.7400,141028076,811746305.0000,3,4.742000,1,0.349700,8.336371,1.078866,1.815506,-13.488327,0
2019-12-20,sh.601658,5.7500,5.8400,5.7200,5.7500,176243052,1017976197.0000,3,5.926100,1,0.174200,8.350895,1.080745,1.818669,-13.511826,0
2019-12-23,sh.601658,5.7600,5.8800,5.7400,5.8200,170998638,994892791.0000,3,5.749800,1,1.217400,8.452558,1.093902,1.840809,-13.676318,0
2019-12-24,sh.601658,5.8300,5.8300,5.7400,5.8000,131189734,758582939.0000,3,4.411200,1,-0.343600,8.423511,1.090143,1.834484,-13.629320,0
2019-12-25,sh.601658,5.7800,5.8000,5.6800,5.6900,156835820,898134028.0000,3,5.273600,1,-1.896600,8.263755,1.069468,1.799692,-13.370833,0
2019-12-26,sh.601658,5.6800,5.6900,5.6300,5.6900,118575693,670892421.0000,3,3.987100,1,0.000000,8.263755,1.069468,1.799692,-13.370833,0
2019-12-27,sh.601658,5.6800,5.7600,5.6700,5.7400,130905932,749825057.0000,3,4.401700,1,0.878700,8.336371,1.078866,1.815506,-13.488327,0
2019-12-30,sh.601658,5.7100,5.9100,5.6600,5.8100,178952754,1039987974.0000,3,6.017300,1,1.219500,8.438034,1.092023,1.837647,-13.652819,0
