date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601818,3.9000,3.9600,3.8900,3.9500,136701347,538200112.0000,3,0.343381,1,1.023017,6.127698,0.845450,1.964315,6.929326,0
2017-01-04,sh.601818,3.9400,3.9700,3.9300,3.9600,71910565,283772640.0000,3,0.180633,1,0.253164,6.143211,0.847590,1.969288,6.946868,0
2017-01-05,sh.601818,3.9600,3.9700,3.9400,3.9400,52666645,208097449.0000,3,0.132294,1,-0.505050,6.112185,0.843309,1.959342,6.911783,0
2017-01-06,sh.601818,3.9500,3.9500,3.9000,3.9200,51623974,202531239.0000,3,0.129675,1,-0.507614,6.081158,0.839029,1.949397,6.876698,0
2017-01-09,sh.601818,3.9100,3.9300,3.9000,3.9200,47080185,184281330.0000,3,0.118261,1,0.000000,6.081158,0.839029,1.949397,6.876698,0
2017-01-10,sh.601818,3.9200,3.9300,3.9000,3.9100,42862120,167705300.0000,3,0.107666,1,-0.255102,6.065645,0.836888,1.944424,6.859155,0
2017-01-11,sh.601818,3.9100,3.9300,3.9000,3.9100,52290806,204605530.0000,3,0.131350,1,0.000000,6.065645,0.836888,1.944424,6.859155,0
2017-01-12,sh.601818,3.9100,3.9200,3.8800,3.8900,39174165,152950252.0000,3,0.098402,1,-0.511509,6.034619,0.832607,1.934478,6.824070,0
2017-01-13,sh.601818,3.9000,3.9400,3.8800,3.9200,66926922,262332640.0000,3,0.168114,1,0.771208,6.081158,0.839029,1.949397,6.876698,0
2017-01-16,sh.601818,3.9200,4.0000,3.8900,3.9700,188970446,745953760.0000,3,0.474677,1,1.275509,6.158724,0.849730,1.974261,6.964411,0
2017-01-17,sh.601818,3.9500,3.9700,3.9400,3.9600,56533745,223703678.0000,3,0.142008,1,-0.251889,6.143211,0.847590,1.969288,6.946868,0
2017-01-18,sh.601818,3.9500,4.0200,3.9500,3.9900,71378202,284933584.0000,3,0.179296,1,0.757575,6.189750,0.854011,1.984207,6.999496,0
2017-01-19,sh.601818,3.9900,4.0200,3.9600,3.9800,50943527,203582691.0000,3,0.127966,1,-0.250626,6.174237,0.851871,1.979234,6.981953,0
2017-01-20,sh.601818,3.9700,4.0100,3.9700,4.0000,58844345,235302699.0000,3,0.147812,1,0.502512,6.205264,0.856152,1.989180,7.017039,0
2017-01-23,sh.601818,4.0000,4.0200,3.9800,3.9900,38968128,156131980.0000,3,0.097884,1,-0.250000,6.189750,0.854011,1.984207,6.999496,0
2017-01-24,sh.601818,3.9900,4.0600,3.9800,4.0600,78614855,317077856.0000,3,0.197473,1,1.754384,6.298342,0.868994,2.019018,7.122294,0
2017-01-25,sh.601818,4.0500,4.0700,4.0200,4.0600,34575463,139929836.0000,3,0.086850,1,0.000000,6.298342,0.868994,2.019018,7.122294,0
2017-01-26,sh.601818,4.0600,4.1100,4.0600,4.0800,55513136,227023710.0000,3,0.139444,1,0.492610,6.329369,0.873275,2.028964,7.157379,0
2017-02-03,sh.601818,4.0800,4.0900,4.0300,4.0300,29409172,119255773.0000,3,0.073873,1,-1.225483,6.251803,0.862573,2.004099,7.069666,0
2017-02-06,sh.601818,4.0500,4.0600,4.0300,4.0400,38106079,154131120.0000,3,0.095719,1,0.248133,6.267316,0.864713,2.009072,7.087209,0
2017-02-07,sh.601818,4.0400,4.0500,4.0200,4.0300,30952078,124885264.0000,3,0.077749,1,-0.247519,6.251803,0.862573,2.004099,7.069666,0
2017-02-08,sh.601818,4.0300,4.0500,4.0000,4.0500,40204591,161960458.0000,3,0.100990,1,0.496277,6.282829,0.866853,2.014045,7.104752,0
2017-02-09,sh.601818,4.0500,4.0600,4.0300,4.0600,49000456,198344170.0000,3,0.123085,1,0.246907,6.298342,0.868994,2.019018,7.122294,0
2017-02-10,sh.601818,4.0600,4.1000,4.0500,4.0800,66969827,273533600.0000,3,0.168222,1,0.492610,6.329369,0.873275,2.028964,7.157379,0
2017-02-13,sh.601818,4.1000,4.1500,4.0900,4.1300,89255597,368530208.0000,3,0.224202,1,1.225495,6.406935,0.883976,2.053828,7.245092,0
2017-02-14,sh.601818,4.1300,4.1500,4.1000,4.1200,37804224,155746172.0000,3,0.094961,1,-0.242136,6.391421,0.881836,2.048856,7.227550,0
2017-02-15,sh.601818,4.1200,4.1800,4.1100,4.1400,101908984,423661296.0000,3,0.255986,1,0.485436,6.422448,0.886117,2.058801,7.262635,0
2017-02-16,sh.601818,4.1500,4.1800,4.1400,4.1600,49859380,207107870.0000,3,0.125242,1,0.483091,6.453474,0.890398,2.068747,7.297720,0
2017-02-17,sh.601818,4.1600,4.1700,4.0900,4.1000,46236100,190884403.0000,3,0.116141,1,-1.442306,6.360395,0.877555,2.038910,7.192465,0
2017-02-20,sh.601818,4.0900,4.2200,4.0900,4.1900,154087004,644074560.0000,3,0.387053,1,2.195126,6.500014,0.896819,2.083666,7.350348,0
2017-02-21,sh.601818,4.1900,4.2500,4.1800,4.1900,82436495,347479024.0000,3,0.207073,1,0.000000,6.500014,0.896819,2.083666,7.350348,0
2017-02-22,sh.601818,4.1800,4.2100,4.1600,4.1900,63098793,263420301.0000,3,0.158498,1,0.000000,6.500014,0.896819,2.083666,7.350348,0
2017-02-23,sh.601818,4.1900,4.2100,4.1700,4.1900,50613807,212253243.0000,3,0.127137,1,0.000000,6.500014,0.896819,2.083666,7.350348,0
2017-02-24,sh.601818,4.1900,4.1900,4.1400,4.1600,44500809,185122621.0000,3,0.111782,1,-0.715995,6.453474,0.890398,2.068747,7.297720,0
2017-02-27,sh.601818,4.1500,4.1600,4.1300,4.1500,58809554,243812570.0000,3,0.147724,1,-0.240379,6.437961,0.888257,2.063774,7.280178,0
2017-02-28,sh.601818,4.1400,4.1800,4.1300,4.1400,60231492,250739872.0000,3,0.151296,1,-0.240969,6.422448,0.886117,2.058801,7.262635,0
2017-03-01,sh.601818,4.1500,4.2500,4.1400,4.2100,152145660,640390352.0000,3,0.382176,1,1.690825,6.531040,0.901100,2.093612,7.385433,0
2017-03-02,sh.601818,4.2100,4.2600,4.1800,4.1900,51578390,217362123.0000,3,0.129560,1,-0.475059,6.500014,0.896819,2.083666,7.350348,0
2017-03-03,sh.601818,4.1900,4.1900,4.1500,4.1600,44909219,187099093.0000,3,0.112808,1,-0.715995,6.453474,0.890398,2.068747,7.297720,0
2017-03-06,sh.601818,4.1500,4.1800,4.1300,4.1400,60069029,249676700.0000,3,0.150888,1,-0.480769,6.422448,0.886117,2.058801,7.262635,0
2017-03-07,sh.601818,4.1400,4.1700,4.1100,4.1600,61958601,256270610.0000,3,0.155634,1,0.483091,6.453474,0.890398,2.068747,7.297720,0
2017-03-08,sh.601818,4.1500,4.1800,4.1200,4.1500,37941650,157548215.0000,3,0.095306,1,-0.240379,6.437961,0.888257,2.063774,7.280178,0
2017-03-09,sh.601818,4.1400,4.1500,4.1000,4.1100,45441482,187026481.0000,3,0.114145,1,-0.963854,6.375908,0.879696,2.043883,7.210007,0
2017-03-10,sh.601818,4.1200,4.1700,4.1100,4.1400,66234758,274424256.0000,3,0.166376,1,0.729920,6.422448,0.886117,2.058801,7.262635,0
2017-03-13,sh.601818,4.1400,4.2200,4.1300,4.2200,91944992,384905536.0000,3,0.230957,1,1.932365,6.546553,0.903240,2.098585,7.402976,0
2017-03-14,sh.601818,4.2000,4.2600,4.1900,4.2300,107939293,457461680.0000,3,0.271134,1,0.236972,6.562066,0.905380,2.103558,7.420518,0
2017-03-15,sh.601818,4.2500,4.2700,4.2200,4.2600,135466378,575670960.0000,3,0.340279,1,0.709225,6.608606,0.911801,2.118477,7.473146,0
2017-03-16,sh.601818,4.2700,4.3000,4.2300,4.2500,192405478,821096016.0000,3,0.483305,1,-0.234747,6.593093,0.909661,2.113504,7.455604,0
2017-03-17,sh.601818,4.2200,4.2200,4.1100,4.1200,196012120,813675840.0000,3,0.492365,1,-3.058826,6.391421,0.881836,2.048856,7.227550,0
2017-03-20,sh.601818,4.1100,4.1300,4.0900,4.1200,73389738,301364144.0000,3,0.184348,1,0.000000,6.391421,0.881836,2.048856,7.227550,0
