date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-11-26,sh.601916,4.9500,5.5800,4.8800,4.9700,947824464,4824847247.0000,3,45.842500,1,0.607300,8.212574,1.084289,2.306321,11.407258,0
2019-11-27,sh.601916,4.8100,4.9100,4.7000,4.7400,444815920,2129128320.0000,3,21.514000,1,-4.627800,7.832515,1.034111,2.199590,10.879357,0
2019-11-28,sh.601916,4.7500,4.8100,4.6800,4.7500,271549472,1285121543.0000,3,13.133800,1,0.211000,7.849039,1.036293,2.204230,10.902309,0
2019-11-29,sh.601916,4.7200,4.7500,4.6900,4.7000,153065231,720520911.0000,3,7.403200,1,-1.052600,7.766418,1.025384,2.181028,10.787548,0
2019-12-02,sh.601916,4.7000,4.7100,4.6000,4.6100,212229401,985033561.0000,3,10.264700,1,-1.914900,7.617699,1.005749,2.139263,10.580978,0
2019-12-03,sh.601916,4.5700,4.5800,4.5300,4.5600,143506847,652958839.0000,3,6.940900,1,-1.084600,7.535078,0.994841,2.116061,10.466216,0
2019-12-04,sh.601916,4.5300,4.6300,4.5200,4.5800,108089386,495663545.0000,3,5.227900,1,0.438600,7.568126,0.999204,2.125342,10.512121,0
2019-12-05,sh.601916,4.5900,4.6000,4.5600,4.6000,105160112,481632006.0000,3,5.086200,1,0.436700,7.601175,1.003568,2.134623,10.558025,0
2019-12-06,sh.601916,4.5900,4.6000,4.5600,4.5900,77274378,353791709.0000,3,3.737500,1,-0.217400,7.584650,1.001386,2.129982,10.535073,0
2019-12-09,sh.601916,4.6000,4.6700,4.5900,4.6500,138928257,643934007.0000,3,6.719400,1,1.307200,7.683796,1.014476,2.157825,10.672786,0
2019-12-10,sh.601916,4.6300,4.6300,4.5600,4.5800,132946593,609125913.0000,3,6.430100,1,-1.505400,7.568126,0.999204,2.125342,10.512121,0
2019-12-11,sh.601916,4.5700,4.6000,4.5500,4.5800,88192000,403158266.0000,3,4.265500,1,0.000000,7.568126,0.999204,2.125342,10.512121,0
2019-12-12,sh.601916,4.5700,4.5700,4.5300,4.5400,84978238,386289808.0000,3,4.110100,1,-0.873400,7.502029,0.990478,2.106780,10.420312,0
2019-12-13,sh.601916,4.5600,4.6200,4.5400,4.6100,157897444,723039728.0000,3,7.636900,1,1.541900,7.617699,1.005749,2.139263,10.580978,0
2019-12-16,sh.601916,4.5900,4.5900,4.5500,4.5900,125307928,572963238.0000,3,6.060600,1,-0.433800,7.584650,1.001386,2.129982,10.535073,0
2019-12-17,sh.601916,4.5800,4.9600,4.5700,4.8100,506606992,2406667146.0000,3,24.502600,1,4.793000,7.948185,1.049383,2.232073,11.040022,0
2019-12-18,sh.601916,4.7600,4.8100,4.7100,4.7300,240568355,1142440734.0000,3,11.635300,1,-1.663200,7.815991,1.031929,2.194949,10.856404,0
2019-12-19,sh.601916,4.7400,4.8100,4.7100,4.7300,138422495,658065005.0000,3,6.694900,1,0.000000,7.815991,1.031929,2.194949,10.856404,0
2019-12-20,sh.601916,4.7400,4.8700,4.7300,4.7700,211196763,1011173952.0000,3,10.214700,1,0.845700,7.882088,1.040656,2.213511,10.948213,0
2019-12-23,sh.601916,4.7900,4.8700,4.7700,4.7800,211624828,1019846304.0000,3,10.235500,1,0.209600,7.898612,1.042838,2.218152,10.971165,0
2019-12-24,sh.601916,4.8000,4.8300,4.7300,4.7800,98706099,470021281.0000,3,4.774000,1,0.000000,7.898612,1.042838,2.218152,10.971165,0
2019-12-25,sh.601916,4.7800,4.8000,4.7400,4.7700,87253983,415793399.0000,3,4.220100,1,-0.209200,7.882088,1.040656,2.213511,10.948213,0
2019-12-26,sh.601916,4.7600,4.8000,4.7400,4.7900,97277112,463085953.0000,3,4.704900,1,0.419300,7.915136,1.045019,2.222792,10.994118,0
2019-12-27,sh.601916,4.7800,4.8500,4.7700,4.7900,138863556,667423752.0000,3,6.716300,1,0.000000,7.915136,1.045019,2.222792,10.994118,0
2019-12-30,sh.601916,4.7500,4.8000,4.7000,4.7900,126916653,603547412.0000,3,6.138500,1,0.000000,7.915136,1.045019,2.222792,10.994118,0
2019-12-31,sh.601916,4.7700,4.7900,4.7500,4.7800,83370678,397642090.0000,3,4.032300,1,-0.208800,7.898612,1.042838,2.218152,10.971165,0
