date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601939,5.4400,5.5300,5.4200,5.4900,76914207,421117952.0000,3,0.801719,1,0.919112,5.956698,0.891421,2.212458,10.926897,0
2017-01-04,sh.601939,5.4700,5.5100,5.4600,5.4900,76188330,417894464.0000,3,0.794153,1,0.000000,5.956698,0.891421,2.212458,10.926897,0
2017-01-05,sh.601939,5.4900,5.4900,5.4700,5.4900,47084836,257981093.0000,3,0.490791,1,0.000000,5.956698,0.891421,2.212458,10.926897,0
2017-01-06,sh.601939,5.4800,5.4800,5.4300,5.4600,61004072,333176816.0000,3,0.635879,1,-0.546443,5.924148,0.886550,2.200368,10.867187,0
2017-01-09,sh.601939,5.4400,5.4900,5.4200,5.4700,69641652,379994976.0000,3,0.725913,1,0.183146,5.934998,0.888174,2.204398,10.887090,0
2017-01-10,sh.601939,5.4600,5.4800,5.4500,5.4700,39418988,215254566.0000,3,0.410886,1,0.000000,5.934998,0.888174,2.204398,10.887090,0
2017-01-11,sh.601939,5.4700,5.5000,5.4500,5.4700,51083949,279972944.0000,3,0.532476,1,0.000000,5.934998,0.888174,2.204398,10.887090,0
2017-01-12,sh.601939,5.4700,5.5000,5.4500,5.4900,49778430,272989232.0000,3,0.518868,1,0.365630,5.956698,0.891421,2.212458,10.926897,0
2017-01-13,sh.601939,5.4700,5.5700,5.4700,5.5400,89714563,496160064.0000,3,0.935145,1,0.910750,6.010949,0.899540,2.232608,11.026413,0
2017-01-16,sh.601939,5.5300,5.6400,5.5000,5.6100,153474568,854889008.0000,3,1.599750,1,1.263541,6.086899,0.910906,2.260818,11.165736,0
2017-01-17,sh.601939,5.5800,5.6400,5.5700,5.6200,65473410,367107472.0000,3,0.682466,1,0.178249,6.097749,0.912529,2.264848,11.185639,0
2017-01-18,sh.601939,5.6100,5.6400,5.6000,5.6200,67366009,378381248.0000,3,0.702193,1,0.000000,6.097749,0.912529,2.264848,11.185639,0
2017-01-19,sh.601939,5.6100,5.6600,5.5600,5.6200,77498635,434444208.0000,3,0.807811,1,0.000000,6.097749,0.912529,2.264848,11.185639,0
2017-01-20,sh.601939,5.6000,5.6200,5.5800,5.6100,54186619,303534512.0000,3,0.564817,1,-0.177931,6.086899,0.910906,2.260818,11.165736,0
2017-01-23,sh.601939,5.6100,5.6100,5.5500,5.5800,77252909,431290400.0000,3,0.805250,1,-0.534763,6.054349,0.906035,2.248728,11.106026,0
2017-01-24,sh.601939,5.5800,5.6600,5.5700,5.6500,81902690,459920016.0000,3,0.853717,1,1.254483,6.130300,0.917401,2.276938,11.245349,0
2017-01-25,sh.601939,5.6600,5.7000,5.6500,5.6800,71469792,405532592.0000,3,0.744969,1,0.530969,6.162850,0.922272,2.289028,11.305059,0
2017-01-26,sh.601939,5.6900,5.7700,5.6800,5.7500,81237606,465888080.0000,3,0.846785,1,1.232397,6.238800,0.933638,2.317237,11.444382,0
2017-02-03,sh.601939,5.7500,5.7700,5.6800,5.6900,49766644,285123984.0000,3,0.518745,1,-1.043477,6.173700,0.923895,2.293058,11.324962,0
2017-02-06,sh.601939,5.7000,5.7000,5.6400,5.6600,68910766,389755472.0000,3,0.718295,1,-0.527244,6.141150,0.919024,2.280968,11.265252,0
2017-02-07,sh.601939,5.6500,5.6600,5.6200,5.6500,48720145,274490208.0000,3,0.507837,1,-0.176674,6.130300,0.917401,2.276938,11.245349,0
2017-02-08,sh.601939,5.6400,5.6600,5.5900,5.6500,53181025,298996496.0000,3,0.554335,1,0.000000,6.130300,0.917401,2.276938,11.245349,0
2017-02-09,sh.601939,5.6400,5.7000,5.6400,5.6800,48399741,274375664.0000,3,0.504497,1,0.530969,6.162850,0.922272,2.289028,11.305059,0
