date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601988,3.4400,3.4800,3.4300,3.4700,113687763,393101776.0000,3,0.053940,1,0.872092,5.867027,0.791953,2.099235,-6.685333,0
2017-01-04,sh.601988,3.4600,3.4800,3.4500,3.4700,94002332,325874864.0000,3,0.044600,1,0.000000,5.867027,0.791953,2.099235,-6.685333,0
2017-01-05,sh.601988,3.4800,3.4800,3.4500,3.4600,121066829,419460944.0000,3,0.057441,1,-0.288184,5.850119,0.789671,2.093186,-6.666067,0
2017-01-06,sh.601988,3.4600,3.4600,3.4200,3.4400,165438451,568322352.0000,3,0.078494,1,-0.578034,5.816303,0.785107,2.081086,-6.627535,0
2017-01-09,sh.601988,3.4300,3.4400,3.4200,3.4400,85815824,294854672.0000,3,0.040716,1,0.000000,5.816303,0.785107,2.081086,-6.627535,0
2017-01-10,sh.601988,3.4400,3.4400,3.4200,3.4300,116026900,397931360.0000,3,0.055050,1,-0.290697,5.799395,0.782824,2.075037,-6.608269,0
2017-01-11,sh.601988,3.4300,3.4500,3.4200,3.4300,109660585,376764576.0000,3,0.052030,1,0.000000,5.799395,0.782824,2.075037,-6.608269,0
2017-01-12,sh.601988,3.4300,3.4400,3.4200,3.4300,111484426,382888016.0000,3,0.052895,1,0.000000,5.799395,0.782824,2.075037,-6.608269,0
2017-01-13,sh.601988,3.4200,3.4600,3.4200,3.4600,154088929,530285248.0000,3,0.073109,1,0.874635,5.850119,0.789671,2.093186,-6.666067,0
2017-01-16,sh.601988,3.4500,3.5300,3.4300,3.5000,376921920,1310936112.0000,3,0.178835,1,1.156068,5.917750,0.798800,2.117384,-6.743132,0
2017-01-17,sh.601988,3.4900,3.5100,3.4800,3.5000,102395858,357658592.0000,3,0.048583,1,0.000000,5.917750,0.798800,2.117384,-6.743132,0
2017-01-18,sh.601988,3.5000,3.5200,3.4900,3.5100,108266531,379749648.0000,3,0.051368,1,0.285714,5.934658,0.801083,2.123434,-6.762398,0
2017-01-19,sh.601988,3.5100,3.5500,3.5000,3.5200,143853940,507492448.0000,3,0.068253,1,0.284900,5.951566,0.803365,2.129484,-6.781664,0
2017-01-20,sh.601988,3.5100,3.5200,3.5000,3.5200,76477073,268706128.0000,3,0.036285,1,0.000000,5.951566,0.803365,2.129484,-6.781664,0
2017-01-23,sh.601988,3.5200,3.5200,3.5000,3.5100,100233539,351701616.0000,3,0.047557,1,-0.284091,5.934658,0.801083,2.123434,-6.762398,0
2017-01-24,sh.601988,3.5100,3.5400,3.5000,3.5400,183042760,643221408.0000,3,0.086847,1,0.854700,5.985382,0.807929,2.141583,-6.820196,0
2017-01-25,sh.601988,3.5300,3.5400,3.5200,3.5400,82123520,290252480.0000,3,0.038964,1,0.000000,5.985382,0.807929,2.141583,-6.820196,0
2017-01-26,sh.601988,3.5400,3.5900,3.5300,3.5800,154662324,551585072.0000,3,0.073381,1,1.129943,6.053013,0.817059,2.165782,-6.897260,0
2017-02-03,sh.601988,3.5800,3.5800,3.5400,3.5500,70948131,252311555.0000,3,0.033662,1,-0.837988,6.002290,0.810212,2.147633,-6.839462,0
2017-02-06,sh.601988,3.5500,3.5700,3.5400,3.5500,111730798,397025168.0000,3,0.053012,1,0.000000,6.002290,0.810212,2.147633,-6.839462,0
2017-02-07,sh.601988,3.5500,3.5600,3.5200,3.5400,109941968,388720096.0000,3,0.052163,1,-0.281690,5.985382,0.807929,2.141583,-6.820196,0
2017-02-08,sh.601988,3.5300,3.5500,3.5100,3.5500,78148421,276314688.0000,3,0.037078,1,0.282486,6.002290,0.810212,2.147633,-6.839462,0
2017-02-09,sh.601988,3.5400,3.5800,3.5400,3.5700,103917629,370388704.0000,3,0.049305,1,0.563380,6.036105,0.814776,2.159732,-6.877994,0
2017-02-10,sh.601988,3.5700,3.6000,3.5700,3.6000,138918124,498493920.0000,3,0.065911,1,0.840335,6.086829,0.821623,2.177881,-6.935793,0
2017-02-13,sh.601988,3.6000,3.6400,3.5900,3.6300,164878163,596931232.0000,3,0.078228,1,0.833339,6.137553,0.828470,2.196030,-6.993591,0
2017-02-14,sh.601988,3.6300,3.6300,3.6000,3.6200,112422480,406472128.0000,3,0.053340,1,-0.275488,6.120645,0.826188,2.189980,-6.974325,0
2017-02-15,sh.601988,3.6200,3.6800,3.6100,3.6700,263292729,963148144.0000,3,0.124922,1,1.381221,6.205184,0.837599,2.220229,-7.070655,0
2017-02-16,sh.601988,3.6800,3.7000,3.6600,3.6900,169618720,624247072.0000,3,0.080477,1,0.544959,6.239000,0.842164,2.232328,-7.109187,0
2017-02-17,sh.601988,3.6900,3.6900,3.6300,3.6300,140586052,514191680.0000,3,0.066703,1,-1.626015,6.137553,0.828470,2.196030,-6.993591,0
2017-02-20,sh.601988,3.6400,3.7200,3.6300,3.6900,326416112,1203698912.0000,3,0.154872,1,1.652891,6.239000,0.842164,2.232328,-7.109187,0
2017-02-21,sh.601988,3.7000,3.7600,3.6900,3.7100,228405638,851560240.0000,3,0.108370,1,0.542005,6.272815,0.846728,2.244427,-7.147720,0
2017-02-22,sh.601988,3.7100,3.7200,3.6800,3.7200,116528532,431352224.0000,3,0.055288,1,0.269541,6.289723,0.849011,2.250477,-7.166986,0
2017-02-23,sh.601988,3.7100,3.7500,3.7100,3.7300,151276087,564079920.0000,3,0.071775,1,0.268817,6.306631,0.851293,2.256527,-7.186252,0
2017-02-24,sh.601988,3.7300,3.7400,3.7000,3.7200,113659840,423163920.0000,3,0.053927,1,-0.268096,6.289723,0.849011,2.250477,-7.166986,0
2017-02-27,sh.601988,3.7100,3.7200,3.6700,3.6900,123488062,455766880.0000,3,0.058590,1,-0.806451,6.239000,0.842164,2.232328,-7.109187,0
2017-02-28,sh.601988,3.6800,3.7000,3.6700,3.6800,84489776,311598960.0000,3,0.040087,1,-0.271002,6.222092,0.839881,2.226278,-7.089921,0
2017-03-01,sh.601988,3.6900,3.7100,3.6500,3.6700,232019299,853745536.0000,3,0.110084,1,-0.271739,6.205184,0.837599,2.220229,-7.070655,0
2017-03-02,sh.601988,3.6800,3.6900,3.6600,3.6700,105515399,388407488.0000,3,0.050063,1,0.000000,6.205184,0.837599,2.220229,-7.070655,0
2017-03-03,sh.601988,3.6600,3.6600,3.6400,3.6500,85394210,311802608.0000,3,0.040516,1,-0.544959,6.171368,0.833035,2.208129,-7.032123,0
2017-03-06,sh.601988,3.6500,3.6600,3.6000,3.6300,288361920,1047032480.0000,3,0.136816,1,-0.547945,6.137553,0.828470,2.196030,-6.993591,0
2017-03-07,sh.601988,3.6200,3.6400,3.6100,3.6400,128481570,466152912.0000,3,0.060959,1,0.275482,6.154460,0.830752,2.202080,-7.012857,0
2017-03-08,sh.601988,3.6300,3.6400,3.6200,3.6400,72319218,262694123.0000,3,0.034313,1,0.000000,6.154460,0.830752,2.202080,-7.012857,0
2017-03-09,sh.601988,3.6300,3.6500,3.6200,3.6400,129545077,470689712.0000,3,0.061464,1,0.000000,6.154460,0.830752,2.202080,-7.012857,0
2017-03-10,sh.601988,3.6300,3.6500,3.6200,3.6300,73392456,266571667.0000,3,0.034822,1,-0.274725,6.137553,0.828470,2.196030,-6.993591,0
2017-03-13,sh.601988,3.6300,3.6700,3.6200,3.6700,112788560,411240560.0000,3,0.053514,1,1.101927,6.205184,0.837599,2.220229,-7.070655,0
2017-03-14,sh.601988,3.6700,3.6800,3.6500,3.6600,82873980,304053760.0000,3,0.039320,1,-0.272479,6.188276,0.835317,2.214179,-7.051389,0
2017-03-15,sh.601988,3.6500,3.6600,3.6400,3.6600,78618515,287155376.0000,3,0.037301,1,0.000000,6.188276,0.835317,2.214179,-7.051389,0
2017-03-16,sh.601988,3.6600,3.6900,3.6500,3.6800,138318657,508386400.0000,3,0.065627,1,0.546448,6.222092,0.839881,2.226278,-7.089921,0
2017-03-17,sh.601988,3.6800,3.6900,3.6300,3.6500,135292170,494939008.0000,3,0.064191,1,-0.815217,6.171368,0.833035,2.208129,-7.032123,0
2017-03-20,sh.601988,3.6400,3.6700,3.6400,3.6700,108287885,395584912.0000,3,0.051378,1,0.547945,6.205184,0.837599,2.220229,-7.070655,0
2017-03-21,sh.601988,3.6600,3.6700,3.6400,3.6500,137801129,503350128.0000,3,0.065381,1,-0.544959,6.171368,0.833035,2.208129,-7.032123,0
2017-03-22,sh.601988,3.6400,3.6500,3.5900,3.6000,130629085,471795344.0000,3,0.061978,1,-1.369868,6.086829,0.821623,2.177881,-6.935793,0
2017-03-23,sh.601988,3.6100,3.6300,3.6000,3.6000,95835965,346146144.0000,3,0.045470,1,0.000000,6.086829,0.821623,2.177881,-6.935793,0
2017-03-24,sh.601988,3.6100,3.6300,3.6000,3.6300,92676368,334945984.0000,3,0.043971,1,0.833339,6.137553,0.828470,2.196030,-6.993591,0
2017-03-27,sh.601988,3.6200,3.6600,3.6100,3.6500,128981463,469414848.0000,3,0.061197,1,0.550964,6.171368,0.833035,2.208129,-7.032123,0
2017-03-28,sh.601988,3.6600,3.6600,3.6300,3.6400,78928272,287463472.0000,3,0.037448,1,-0.273972,6.154460,0.830752,2.202080,-7.012857,0
