date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601997,15.8700,16.3700,15.8600,16.2700,22003720,355417008.0000,3,4.400744,1,3.105201,10.780981,1.821391,4.081161,45.732634,0
2017-01-04,sh.601997,16.2400,16.3700,16.1800,16.3200,15437840,251513172.0000,3,3.087568,1,0.307309,10.814112,1.826989,4.093703,45.873177,0
2017-01-05,sh.601997,16.2900,16.3800,16.2400,16.3000,8222387,134089493.0000,3,1.644477,1,-0.122552,10.800860,1.824750,4.088687,45.816960,0
2017-01-06,sh.601997,16.2700,16.2700,15.8300,15.8800,17127196,274066896.0000,3,3.425439,1,-2.576682,10.522555,1.777732,3.983334,44.636400,0
2017-01-09,sh.601997,15.8400,16.0600,15.8400,15.9700,9359181,149237759.0000,3,1.871836,1,0.566752,10.582192,1.787807,4.005910,44.889377,0
2017-01-10,sh.601997,15.9200,15.9200,15.7000,15.8400,13781126,217462225.0000,3,2.756225,1,-0.814027,10.496050,1.773254,3.973300,44.523966,0
2017-01-11,sh.601997,15.7800,15.8400,15.6700,15.6800,6252291,98501328.0000,3,1.250458,1,-1.010100,10.390029,1.755342,3.933166,44.074229,0
2017-01-12,sh.601997,15.6800,15.7300,15.0800,15.1800,19609128,301264976.0000,3,3.921826,1,-3.188776,10.058715,1.699368,3.807746,42.668801,0
2017-01-13,sh.601997,15.1600,15.2700,14.8800,15.2000,17233279,259489927.0000,3,3.446656,1,0.131749,10.071967,1.701607,3.812763,42.725018,0
2017-01-16,sh.601997,15.0400,15.4200,14.7000,15.2700,36142853,544867744.0000,3,7.228571,1,0.460531,10.118351,1.709444,3.830322,42.921778,0
2017-01-17,sh.601997,15.0700,15.3500,15.0300,15.2600,9622600,146097978.0000,3,1.924520,1,-0.065489,10.111725,1.708324,3.827813,42.893669,0
2017-01-18,sh.601997,15.1900,15.4300,15.1400,15.3200,11167253,171340215.0000,3,2.233451,1,0.393181,10.151483,1.715041,3.842864,43.062321,0
2017-01-19,sh.601997,15.3000,15.5400,15.1500,15.3000,10815731,166508723.0000,3,2.163146,1,-0.130545,10.138230,1.712802,3.837847,43.006103,0
2017-01-20,sh.601997,15.2800,15.5800,15.2400,15.5300,10132092,156959540.0000,3,2.026418,1,1.503265,10.290635,1.738550,3.895540,43.652600,0
2017-01-23,sh.601997,15.4900,15.6900,15.4200,15.4800,8919613,138649289.0000,3,1.783923,1,-0.321959,10.257504,1.732953,3.882998,43.512058,0
2017-01-24,sh.601997,15.4600,15.5600,15.3700,15.5000,6415837,99175984.0000,3,1.283167,1,0.129202,10.270756,1.735192,3.888015,43.568275,0
2017-01-25,sh.601997,15.4600,15.5600,15.3900,15.5100,5041513,78113800.0000,3,1.008303,1,0.064518,10.277382,1.736311,3.890523,43.596383,0
2017-01-26,sh.601997,15.6400,16.1200,15.6000,15.9900,19421994,309218368.0000,3,3.884399,1,3.094774,9.993063,1.790046,3.630790,44.945594,0
2017-02-03,sh.601997,15.9600,15.9800,15.7600,15.7600,6613845,104826500.0000,3,1.322769,1,-1.438396,9.849323,1.764298,3.578564,44.299097,0
2017-02-06,sh.601997,15.7800,16.0000,15.7500,15.9700,9080330,144355758.0000,3,1.816066,1,1.332488,9.980564,1.787807,3.626248,44.889377,0
2017-02-07,sh.601997,15.9000,16.1000,15.8200,15.8900,6144293,97755066.0000,3,1.228859,1,-0.500939,9.930567,1.778851,3.608083,44.664509,0
2017-02-08,sh.601997,15.8600,16.1200,15.8000,16.0900,12355493,197172569.0000,3,2.471099,1,1.258652,10.055558,1.801241,3.653496,45.226680,0
2017-02-09,sh.601997,16.0000,16.3600,15.9700,16.1800,18907266,306390816.0000,3,3.781453,1,0.559354,10.111804,1.811316,3.673932,45.479657,0
2017-02-10,sh.601997,16.1800,16.5700,16.1300,16.3400,24431199,401293952.0000,3,4.886240,1,0.988874,10.211798,1.829228,3.710263,45.929394,0
2017-02-13,sh.601997,16.3700,17.7400,16.3700,16.9600,47690789,812141584.0000,3,9.538158,1,3.794363,10.599271,1.898635,3.851044,47.672125,0
2017-02-14,sh.601997,17.0100,17.1600,16.6800,16.8200,29015791,489108400.0000,3,5.803158,1,-0.825468,10.511777,1.882963,3.819255,47.278605,0
2017-02-15,sh.601997,16.8100,17.5700,16.7100,17.0400,41190597,708581856.0000,3,8.238119,1,1.307974,10.649268,1.907591,3.869209,47.896994,0
2017-02-16,sh.601997,17.0000,17.5000,16.8800,17.3900,36636307,631818880.0000,3,7.327261,1,2.053982,10.868002,1.946773,3.948683,48.880793,0
2017-02-17,sh.601997,17.3800,17.5500,16.7000,16.7400,30979386,529328832.0000,3,6.195877,1,-3.737778,10.461780,1.874007,3.801089,47.053737,0
2017-02-20,sh.601997,16.7600,18.0900,16.7000,17.8800,61563862,1081634000.0000,3,12.312772,1,6.810032,11.174231,2.001627,4.059945,50.258113,0
2017-02-21,sh.601997,17.8500,18.1400,17.5000,17.6400,44375837,783770880.0000,3,8.875167,1,-1.342281,11.024242,1.974760,4.005449,49.583507,0
2017-02-22,sh.601997,17.6000,17.6800,17.3000,17.5500,30588587,534574080.0000,3,6.117717,1,-0.510205,10.967996,1.964685,3.985013,49.330530,0
2017-02-23,sh.601997,17.6200,18.1500,17.5600,17.8000,46613197,834011552.0000,3,9.322639,1,1.424501,11.124235,1.992672,4.041780,50.033244,0
2017-02-24,sh.601997,17.8800,17.9000,17.4300,17.6900,32878396,578494480.0000,3,6.575679,1,-0.617970,11.055490,1.980357,4.016802,49.724050,0
2017-02-27,sh.601997,17.5900,17.5900,17.2300,17.3800,23777705,414063456.0000,3,4.755541,1,-1.752410,10.861753,1.945653,3.946412,48.852685,0
2017-02-28,sh.601997,17.3000,18.2700,17.2900,18.0600,46661421,838057440.0000,3,9.332284,1,3.912545,11.286724,2.021778,4.100817,50.764067,0
2017-03-01,sh.601997,17.9100,18.3600,17.6600,17.6800,34280291,616830080.0000,3,6.856058,1,-2.104093,11.049240,1.979238,4.014532,49.695942,0
2017-03-02,sh.601997,17.7300,18.0800,17.7000,17.8600,31722806,567915360.0000,3,6.344561,1,1.018101,11.161732,1.999388,4.055404,50.201896,0
2017-03-03,sh.601997,17.6900,17.8000,17.3500,17.3700,24581272,431258736.0000,3,4.916254,1,-2.743560,10.855503,1.944534,3.944141,48.824576,0
2017-03-06,sh.601997,17.3700,17.6800,17.3100,17.5700,15896394,278546464.0000,3,3.179279,1,1.151404,10.980495,1.966924,3.989554,49.386747,0
2017-03-07,sh.601997,17.5100,18.0600,17.5000,18.0000,26518511,472080256.0000,3,5.303702,1,2.447355,11.249226,2.015061,4.087193,50.595416,0
2017-03-08,sh.601997,17.9800,18.3400,17.7200,17.9400,32978388,595365328.0000,3,6.595678,1,-0.333330,11.211729,2.008344,4.073569,50.426764,0
2017-03-09,sh.601997,17.7600,18.0300,17.6200,17.7800,17798688,316284624.0000,3,3.559738,1,-0.891861,11.111736,1.990433,4.037238,49.977027,0
