date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.601998,6.4400,6.7600,6.4200,6.7500,69857877,464410176.0000,3,0.218955,1,5.304215,7.722031,0.965370,2.158648,14.963753,0
2017-01-04,sh.601998,6.7500,6.9900,6.7200,6.7500,50979135,347831856.0000,3,0.159783,1,0.000000,7.722031,0.965370,2.158648,14.963753,0
2017-01-05,sh.601998,6.7500,6.9000,6.6900,6.7900,22945492,156136860.0000,3,0.071918,1,0.592592,7.767791,0.971090,2.171440,15.052427,0
2017-01-06,sh.601998,6.7500,6.8500,6.6200,6.7900,26949231,180929075.0000,3,0.084467,1,0.000000,7.767791,0.971090,2.171440,15.052427,0
2017-01-09,sh.601998,6.7500,6.8500,6.7200,6.8400,25537597,173804140.0000,3,0.080042,1,0.736380,7.824991,0.978241,2.187430,15.163269,0
2017-01-10,sh.601998,6.8300,6.8400,6.6900,6.7000,16899175,114012919.0000,3,0.052967,1,-2.046789,7.664831,0.958219,2.142658,14.852910,0
2017-01-11,sh.601998,6.7200,6.8000,6.6400,6.6600,13766305,92238987.0000,3,0.043148,1,-0.597014,7.619071,0.952498,2.129866,14.764236,0
2017-01-12,sh.601998,6.6800,6.6900,6.6100,6.6600,12084707,80409395.0000,3,0.037877,1,0.000000,7.829379,0.952498,2.119464,14.764236,0
2017-01-13,sh.601998,6.6600,6.9600,6.6300,6.7700,51085280,347237280.0000,3,0.160116,1,1.651654,7.958693,0.968230,2.154470,15.008090,0
2017-01-16,sh.601998,6.7800,6.9200,6.6000,6.8700,71828013,486536672.0000,3,0.225130,1,1.477103,8.076252,0.982532,2.186294,15.229775,0
2017-01-17,sh.601998,6.8000,6.9000,6.7400,6.8200,29151187,198875384.0000,3,0.091368,1,-0.727798,8.017473,0.975381,2.170382,15.118932,0
2017-01-18,sh.601998,6.7800,6.8900,6.7800,6.8900,31533573,215896466.0000,3,0.098835,1,1.026388,8.099763,0.985392,2.192659,15.274112,0
2017-01-19,sh.601998,6.8900,6.9500,6.8400,6.8700,26186498,180674002.0000,3,0.082076,1,-0.290276,8.076252,0.982532,2.186294,15.229775,0
2017-01-20,sh.601998,6.8400,6.9400,6.8200,6.9200,26822976,184315159.0000,3,0.084071,1,0.727805,8.135031,0.989683,2.202206,15.340618,0
2017-01-23,sh.601998,6.9100,6.9300,6.8500,6.9200,15310043,105612352.0000,3,0.047986,1,0.000000,8.135031,0.989683,2.202206,15.340618,0
2017-01-24,sh.601998,6.9100,6.9700,6.8700,6.9300,24045549,166219130.0000,3,0.075366,1,0.144505,8.146787,0.991113,2.205388,15.362786,0
2017-01-25,sh.601998,6.9100,6.9500,6.8600,6.9200,19225348,132606683.0000,3,0.060258,1,-0.144297,8.135031,0.989683,2.202206,15.340618,0
2017-01-26,sh.601998,6.9200,7.0200,6.9000,6.9800,28835194,201465851.0000,3,0.090378,1,0.867051,8.205566,0.998264,2.221300,15.473629,0
2017-02-03,sh.601998,6.9700,7.0000,6.8600,6.8700,16981626,117476602.0000,3,0.053225,1,-1.575933,8.076252,0.982532,2.186294,15.229775,0
2017-02-06,sh.601998,6.8900,6.9100,6.7300,6.8200,26730808,181782820.0000,3,0.083782,1,-0.727798,8.017473,0.975381,2.170382,15.118932,0
2017-02-07,sh.601998,6.8100,6.8400,6.7400,6.8000,25161518,170621845.0000,3,0.078863,1,-0.293255,7.993961,0.972520,2.164017,15.074595,0
2017-02-08,sh.601998,6.7900,6.8300,6.7500,6.8200,23765352,161246426.0000,3,0.074487,1,0.294117,8.017473,0.975381,2.170382,15.118932,0
2017-02-09,sh.601998,6.8100,6.8700,6.7800,6.8500,31135013,212588214.0000,3,0.097586,1,0.439879,8.052740,0.979671,2.179929,15.185438,0
2017-02-10,sh.601998,6.8400,6.9200,6.8200,6.8500,34805262,238736930.0000,3,0.109090,1,0.000000,8.052740,0.979671,2.179929,15.185438,0
2017-02-13,sh.601998,6.8500,6.9900,6.8500,6.9800,41801287,290507824.0000,3,0.131017,1,1.897812,8.205566,0.998264,2.221300,15.473629,0
2017-02-14,sh.601998,6.9700,6.9800,6.9000,6.9200,25950894,179594612.0000,3,0.081338,1,-0.859598,8.135031,0.989683,2.202206,15.340618,0
2017-02-15,sh.601998,6.9300,7.0800,6.9100,7.0500,60084710,421269504.0000,3,0.188323,1,1.878614,8.287857,1.008275,2.243577,15.628808,0
2017-02-16,sh.601998,7.0800,7.1000,6.9600,7.0500,35922462,252273622.0000,3,0.112591,1,0.000000,8.287857,1.008275,2.243577,15.628808,0
2017-02-17,sh.601998,7.0400,7.0400,6.8900,6.9000,24455620,170782336.0000,3,0.076651,1,-2.127661,8.111519,0.986822,2.195841,15.296281,0
2017-02-20,sh.601998,6.8800,7.0700,6.8800,7.0500,55067336,385988368.0000,3,0.172597,1,2.173914,8.287857,1.008275,2.243577,15.628808,0
2017-02-21,sh.601998,7.0400,7.1300,7.0100,7.0700,45633782,323450336.0000,3,0.143029,1,0.283688,8.311368,1.011135,2.249942,15.673145,0
2017-02-22,sh.601998,7.0800,7.1100,6.9900,7.0800,28417761,200125116.0000,3,0.089069,1,0.141439,8.323124,1.012565,2.253124,15.695314,0
2017-02-23,sh.601998,7.0600,7.1200,7.0100,7.0400,18430543,130034429.0000,3,0.057767,1,-0.564971,8.276101,1.006845,2.240394,15.606640,0
2017-02-24,sh.601998,7.0500,7.0600,6.9200,6.9500,33783898,235197491.0000,3,0.105888,1,-1.278411,8.170298,0.993973,2.211753,15.407123,0
2017-02-27,sh.601998,6.9400,6.9600,6.8800,6.9000,33192957,229299167.0000,3,0.104036,1,-0.719420,8.111519,0.986822,2.195841,15.296281,0
2017-02-28,sh.601998,6.8900,6.9400,6.8500,6.9000,24552788,169224231.0000,3,0.076956,1,0.000000,8.111519,0.986822,2.195841,15.296281,0
2017-03-01,sh.601998,6.8900,6.9700,6.8600,6.9200,31226080,216204342.0000,3,0.097872,1,0.289855,8.135031,0.989683,2.202206,15.340618,0
2017-03-02,sh.601998,6.9300,6.9400,6.8500,6.8600,29330285,202197584.0000,3,0.091930,1,-0.867051,8.064496,0.981101,2.183112,15.207606,0
2017-03-03,sh.601998,6.8300,6.8700,6.8000,6.8400,13297191,90796879.0000,3,0.041677,1,-0.291545,8.040984,0.978241,2.176747,15.163269,0
2017-03-06,sh.601998,6.8200,6.8400,6.7400,6.8200,33078269,224659497.0000,3,0.103677,1,-0.292397,8.017473,0.975381,2.170382,15.118932,0
2017-03-07,sh.601998,6.7900,6.8300,6.7800,6.8200,11741905,79936013.0000,3,0.036803,1,0.000000,8.017473,0.975381,2.170382,15.118932,0
2017-03-08,sh.601998,6.8000,6.8300,6.7600,6.8200,14025075,95324265.0000,3,0.043959,1,0.000000,8.017473,0.975381,2.170382,15.118932,0
2017-03-09,sh.601998,6.8000,6.8100,6.7500,6.7600,13431649,91096006.0000,3,0.042099,1,-0.879765,7.946938,0.966800,2.151288,14.985921,0
2017-03-10,sh.601998,6.7600,6.7800,6.6800,6.7000,18399480,123566037.0000,3,0.057669,1,-0.887580,7.876403,0.958219,2.132194,14.852910,0
2017-03-13,sh.601998,6.7000,6.7600,6.6700,6.7600,18455503,123980914.0000,3,0.057845,1,0.895529,7.946938,0.966800,2.151288,14.985921,0
