date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sh.603323,15.4800,15.8700,15.3800,15.6800,12013614,188627473.0000,3,10.774542,1,1.423029,27.656403,2.483672,7.525236,-289.629795,0
2017-01-04,sh.603323,15.6300,15.7300,15.4900,15.5700,7349796,114572917.0000,3,6.591745,1,-0.701534,27.462385,2.466249,7.472444,-287.597953,0
2017-01-05,sh.603323,15.5900,15.7200,15.5100,15.5500,5533027,86301317.0000,3,4.962356,1,-0.128449,27.427109,2.463081,7.462845,-287.228528,0
2017-01-06,sh.603323,15.5300,15.6800,15.3000,15.3300,4960020,76944696.0000,3,4.448448,1,-1.414793,27.039073,2.428233,7.357262,-283.164844,0
2017-01-09,sh.603323,15.3000,15.4500,15.0000,15.1200,6447599,98025572.0000,3,5.782600,1,-1.369863,26.668674,2.394970,7.256477,-279.285874,0
2017-01-10,sh.603323,15.1100,15.1500,14.8200,14.9000,5478578,82052259.0000,3,4.913523,1,-1.455028,26.280638,2.360122,7.150894,-275.222190,0
2017-01-11,sh.603323,14.8500,15.0600,14.7300,14.8700,5404572,80526519.0000,3,4.847150,1,-0.201341,26.227724,2.355370,7.136496,-274.668052,0
2017-01-12,sh.603323,14.8200,14.9400,14.4900,14.5400,4200926,61894711.0000,3,3.767647,1,-2.219233,25.645670,2.303099,6.978120,-268.572527,0
2017-01-13,sh.603323,14.4300,14.5000,13.9200,13.9500,7602020,107955359.0000,3,6.817955,1,-4.057773,23.832912,2.209645,6.744383,-257.674467,0
2017-01-16,sh.603323,13.9100,13.9400,12.9600,13.1600,7518574,101243708.0000,3,6.743116,1,-5.663083,22.483235,2.084511,6.362443,-243.082149,0
2017-01-17,sh.603323,13.1000,13.3900,12.8500,13.2600,4850954,63781495.0000,3,4.350631,1,0.759881,22.654080,2.100350,6.410790,-244.929278,0
2017-01-18,sh.603323,13.1700,13.2000,12.9900,13.0300,3754355,49121478.0000,3,3.367135,1,-1.734544,22.261136,2.063919,6.299592,-240.680882,0
2017-01-19,sh.603323,12.9100,13.2800,12.3100,13.0400,5148276,67253160.0000,3,4.617288,1,0.076748,22.278220,2.065503,6.304427,-240.865595,0
2017-01-20,sh.603323,12.9500,13.9300,12.9300,13.4900,6281604,84296446.0000,3,5.633726,1,3.450919,23.047024,2.136782,6.521988,-249.177674,0
2017-01-23,sh.603323,13.4800,13.7400,13.4200,13.4700,3644509,49489261.0000,3,3.268618,1,-0.148254,23.012855,2.133614,6.512318,-248.808249,0
2017-01-24,sh.603323,13.5000,13.6800,13.3300,13.3900,3805376,51403024.0000,3,3.412893,1,-0.593912,22.876179,2.120942,6.473641,-247.330546,0
2017-01-25,sh.603323,13.3300,13.6300,13.3300,13.5000,3343771,45105173.0000,3,2.998898,1,0.821506,23.064109,2.138366,6.526822,-249.362387,0
2017-01-26,sh.603323,13.4600,13.8600,13.4600,13.7400,5024776,68966559.0000,3,4.506526,1,1.777776,23.474137,2.176381,6.642855,-253.795496,0
2017-02-03,sh.603323,13.7700,13.7700,13.4000,13.5300,2396294,32427687.0000,3,2.149143,1,-1.528385,23.115362,2.143118,6.541326,-249.916526,0
2017-02-06,sh.603323,13.5000,13.7900,13.5000,13.7500,3791202,51727860.0000,3,3.400181,1,1.626018,23.491222,2.177965,6.647689,-253.980209,0
2017-02-07,sh.603323,13.7000,13.9000,13.5200,13.6400,3794859,51971608.0000,3,3.403461,1,-0.799998,23.303292,2.160541,6.594508,-251.948368,0
2017-02-08,sh.603323,13.5300,14.0500,13.3800,14.0300,7057346,97089609.0000,3,6.329458,1,2.859233,23.969588,2.222316,6.783061,-259.152170,0
2017-02-09,sh.603323,13.9000,14.2100,13.8700,13.9800,4819990,67650383.0000,3,4.322861,1,-0.356381,23.884166,2.214397,6.758887,-258.228606,0
2017-02-10,sh.603323,14.0000,14.7400,13.9700,14.3900,13066727,189692992.0000,3,11.719038,1,2.932767,24.584631,2.279340,6.957109,-265.801834,0
2017-02-13,sh.603323,14.9900,15.8300,14.7100,15.2800,23429709,361282128.0000,3,21.013192,1,6.184846,26.105154,2.420313,7.387396,-282.241280,0
2017-02-14,sh.603323,15.5500,15.5800,14.7000,15.1300,16121580,244875863.0000,3,14.458816,1,-0.981673,25.848886,2.396554,7.314876,-279.470587,0
2017-02-15,sh.603323,14.9500,16.6400,14.9100,16.1400,42112268,679406928.0000,3,37.768850,1,6.675474,27.574423,2.556535,7.803179,-298.126588,0
2017-02-16,sh.603323,16.1800,17.6800,15.8900,16.6800,47153396,776318336.0000,3,42.290041,1,3.345731,28.496987,2.642070,8.064252,-308.101083,0
2017-02-17,sh.603323,16.3000,17.0500,15.7500,15.7900,29159819,478403760.0000,3,26.152304,1,-5.335733,26.976465,2.501096,7.633965,-291.661637,0
2017-02-20,sh.603323,15.5900,17.3700,15.4100,17.3700,16132562,270973504.0000,3,14.468665,1,10.006340,29.675820,2.751364,8.397845,-320.846272,0
2017-02-21,sh.603323,19.1100,19.1100,18.2400,18.8700,66754208,1269261568.0000,3,59.869245,1,8.635578,32.238498,2.988960,9.123047,-348.553204,0
2017-02-22,sh.603323,18.5000,18.6700,17.0000,17.1700,51410927,904962160.0000,3,46.108455,1,-9.009012,29.334129,2.719685,8.301151,-317.152014,0
2017-02-23,sh.603323,17.0900,17.1800,16.5000,16.8100,31041204,523390144.0000,3,27.839645,1,-2.096684,28.719086,2.662661,8.127103,-310.502350,0
2017-02-24,sh.603323,16.7000,17.1600,16.5100,16.9700,30693587,517356176.0000,3,27.527881,1,0.951813,28.992439,2.688005,8.204457,-313.457757,0
2017-02-27,sh.603323,16.7500,17.0200,16.1600,16.4800,26794479,444091904.0000,3,24.030923,1,-2.887447,28.155297,2.610390,7.967558,-304.406825,0
2017-02-28,sh.603323,16.4000,18.1300,16.3200,18.1300,46569555,821837744.0000,3,41.766417,1,10.012130,30.974244,2.871746,8.765281,-334.884451,0
2017-03-01,sh.603323,18.0300,19.7300,17.6300,17.7200,46003729,849075920.0000,3,41.258950,1,-2.261444,30.273778,2.806803,8.567059,-327.311223,0
2017-03-02,sh.603323,17.8000,19.4900,17.5300,19.4900,54292885,1018370720.0000,3,48.693170,1,9.988716,33.297739,3.087167,9.422798,-360.005402,0
2017-03-03,sh.603323,19.0300,19.7200,18.4200,18.4900,45935723,877543360.0000,3,41.197958,1,-5.130836,31.589286,2.928769,8.939329,-341.534114,0
2017-03-06,sh.603323,18.1400,19.1200,17.7000,18.4700,31096820,571852528.0000,3,27.889525,1,-0.108169,31.555117,2.925601,8.929660,-341.164688,0
2017-03-07,sh.603323,18.3000,19.5200,18.2000,19.1900,33520085,639285696.0000,3,30.062857,1,3.898220,32.785203,3.039647,9.277757,-354.464016,0
2017-03-08,sh.603323,18.9100,20.0000,18.6000,19.4300,38606171,747339152.0000,3,34.624369,1,1.250650,33.195232,3.077663,9.393790,-358.897125,0
2017-03-09,sh.603323,19.3500,20.9900,19.1200,20.0300,39344939,793667680.0000,3,35.286941,1,3.088010,34.220303,3.172701,9.683871,-369.979898,0
2017-03-10,sh.603323,19.7200,20.1000,18.7500,19.3100,31079502,602764240.0000,3,27.873993,1,-3.594614,32.990217,3.058655,9.335773,-356.680570,0
