date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sz.002142,16.7800,17.4200,16.7500,17.4000,28836099,495571552.0000,3,0.835233,1,4.567309,8.967186,1.493503,2.908330,18.740378,0
2017-01-04,sz.002142,17.3800,17.7000,17.2900,17.5100,12328610,215940904.0000,3,0.357096,1,0.632187,9.023875,1.502945,2.926716,18.858852,0
2017-01-05,sz.002142,17.6000,17.6800,17.2800,17.3200,13342468,233138447.0000,3,0.386462,1,-1.085097,8.925957,1.486637,2.894958,18.654216,0
2017-01-06,sz.002142,17.4000,17.4300,17.1100,17.2500,8497377,146398638.0000,3,0.246125,1,-0.404155,8.889883,1.480628,2.883258,18.578823,0
2017-01-09,sz.002142,17.2600,17.5200,17.2000,17.5100,13328326,231521907.0000,3,0.386053,1,1.507248,9.023875,1.502945,2.926716,18.858852,0
2017-01-10,sz.002142,17.4500,17.5500,17.4200,17.5000,8278516,144907545.0000,3,0.239786,1,-0.057112,9.018721,1.502087,2.925045,18.848082,0
2017-01-11,sz.002142,17.4500,17.5000,17.1900,17.2000,7608912,131658303.0000,3,0.220391,1,-1.714281,8.864115,1.476337,2.874901,18.524972,0
2017-01-12,sz.002142,17.2200,17.2500,16.9100,16.9100,11615292,197649948.0000,3,0.336435,1,-1.686052,8.714662,1.451445,2.826429,18.212632,0
2017-01-13,sz.002142,16.9100,17.2300,16.9000,17.0300,10513037,179809525.0000,3,0.304508,1,0.709644,8.776504,1.461745,2.846486,18.341876,0
2017-01-16,sz.002142,17.1800,17.2900,16.8600,17.1700,22148635,378393552.0000,3,0.641532,1,0.822075,8.573555,1.473762,2.861393,18.492661,0
2017-01-17,sz.002142,17.0500,17.5000,17.0000,17.4800,17885106,310770384.0000,3,0.518039,1,1.805472,8.728348,1.500370,2.913055,18.826541,0
2017-01-18,sz.002142,17.4100,17.7800,17.3800,17.7400,15486724,273547712.0000,3,0.448570,1,1.487416,8.858175,1.522687,2.956384,19.106570,0
2017-01-19,sz.002142,17.7500,17.8900,17.5500,17.5700,12986329,229746725.0000,3,0.376147,1,-0.958287,8.773288,1.508095,2.928054,18.923474,0
2017-01-20,sz.002142,17.5200,18.0200,17.5200,17.8000,12378080,219949579.0000,3,0.358529,1,1.309047,8.888135,1.527837,2.966383,19.171191,0
2017-01-23,sz.002142,17.7900,17.9400,17.6000,17.7100,10209712,181330605.0000,3,0.295723,1,-0.505619,8.843195,1.520112,2.951385,19.074259,0
2017-01-24,sz.002142,17.6600,17.8900,17.5800,17.8600,11005659,195396212.0000,3,0.318777,1,0.846988,8.918095,1.532987,2.976382,19.235813,0
2017-01-25,sz.002142,17.8300,17.9000,17.6600,17.7600,9884493,175103699.0000,3,0.286303,1,-0.559913,8.868162,1.524403,2.959717,19.128110,0
2017-01-26,sz.002142,17.8000,17.8900,17.6500,17.7500,9356076,166434540.0000,3,0.270997,1,-0.056308,8.863168,1.523545,2.958051,19.117340,0
2017-02-03,sz.002142,17.7500,17.7500,17.5900,17.6100,7181918,126844122.0000,3,0.208023,1,-0.788729,8.793262,1.511528,2.934720,18.966555,0
2017-02-06,sz.002142,17.6000,17.6400,17.3000,17.4000,21095349,367465424.0000,3,0.611023,1,-1.192510,8.688402,1.493503,2.899723,18.740378,0
2017-02-07,sz.002142,17.4000,17.6600,17.3200,17.6600,13314329,232447805.0000,3,0.385647,1,1.494254,8.818228,1.515820,2.943052,19.020407,0
2017-02-08,sz.002142,17.6000,17.7100,17.5200,17.6700,11304316,199213555.0000,3,0.327428,1,0.056626,8.823222,1.516678,2.944719,19.031177,0
2017-02-09,sz.002142,17.6500,17.9000,17.5500,17.5800,18339657,325121232.0000,3,0.531205,1,-0.509339,8.778282,1.508953,2.929720,18.934244,0
2017-02-10,sz.002142,17.6500,17.9700,17.5800,17.8300,17563937,313392608.0000,3,0.508737,1,1.422071,8.903115,1.530412,2.971383,19.203502,0
2017-02-13,sz.002142,17.8400,18.4300,17.8400,18.3300,27189293,495388304.0000,3,0.787533,1,2.804263,9.152782,1.573329,3.054708,19.742019,0
2017-02-14,sz.002142,18.3400,18.5200,18.0600,18.2800,17619549,321343120.0000,3,0.510347,1,-0.272773,9.127815,1.569037,3.046376,19.688167,0
2017-02-15,sz.002142,18.3000,18.7300,18.2200,18.3100,32374681,598906400.0000,3,0.937727,1,0.164107,9.142795,1.571612,3.051375,19.720478,0
2017-02-16,sz.002142,18.6000,18.6600,18.3000,18.4000,15167519,279450320.0000,3,0.439325,1,0.491536,9.187735,1.579337,3.066374,19.817411,0
2017-02-17,sz.002142,18.4300,18.4700,18.0400,18.1100,11190224,203840094.0000,3,0.324123,1,-1.576082,9.042928,1.554445,3.018045,19.505072,0
2017-02-20,sz.002142,18.0100,18.9600,18.0100,18.9100,30721400,573668512.0000,3,0.889840,1,4.417444,9.442395,1.623112,3.151366,20.366698,0
2017-02-21,sz.002142,18.8000,18.8700,18.6000,18.6900,15548431,291364400.0000,3,0.450358,1,-1.163402,9.332542,1.604229,3.114702,20.129751,0
2017-02-22,sz.002142,18.6900,18.8000,18.6100,18.7800,13556020,253295302.0000,3,0.392648,1,0.481542,9.377482,1.611954,3.129701,20.226684,0
2017-02-23,sz.002142,18.7000,18.8000,18.4100,18.5800,13370382,248753997.0000,3,0.387271,1,-1.064967,9.277615,1.594787,3.096371,20.011277,0
2017-02-24,sz.002142,18.6000,18.6300,18.4200,18.5700,7756745,143967414.0000,3,0.224673,1,-0.053823,9.272622,1.593929,3.094704,20.000507,0
2017-02-27,sz.002142,18.5700,18.6800,18.4500,18.5000,12011260,223222984.0000,3,0.347904,1,-0.376950,9.237668,1.587920,3.083039,19.925115,0
2017-02-28,sz.002142,18.5100,18.9400,18.5000,18.8300,14153795,266089241.0000,3,0.409962,1,1.783783,9.402448,1.616245,3.138034,20.280536,0
2017-03-01,sz.002142,18.7500,18.9600,18.6500,18.6500,12064156,226866383.0000,3,0.349436,1,-0.955923,9.312568,1.600795,3.108036,20.086670,0
2017-03-02,sz.002142,18.7200,18.7800,18.3600,18.3700,11425601,211327215.0000,3,0.330941,1,-1.501334,9.172755,1.576762,3.061374,19.785100,0
2017-03-03,sz.002142,18.3700,18.3700,18.0900,18.1500,13998565,254674436.0000,3,0.405466,1,-1.197611,9.062902,1.557879,3.024711,19.548153,0
2017-03-06,sz.002142,18.1500,18.3600,18.1500,18.3000,10329493,188733046.0000,3,0.299192,1,0.826444,9.137802,1.570754,3.049709,19.709708,0
2017-03-07,sz.002142,18.2600,18.3600,18.2100,18.2600,11040314,201821173.0000,3,0.319781,1,-0.218574,9.117828,1.567320,3.043043,19.666627,0
2017-03-08,sz.002142,18.2800,18.2900,18.0900,18.1900,11359149,206436607.0000,3,0.329016,1,-0.383350,9.082875,1.561312,3.031377,19.591234,0
2017-03-09,sz.002142,18.1500,18.1600,17.8000,17.9600,15451102,277036832.0000,3,0.447539,1,-1.264439,8.968028,1.541570,2.993047,19.343517,0
2017-03-10,sz.002142,17.9500,18.1000,17.9200,18.0200,10536289,190064459.0000,3,0.305182,1,0.334083,8.997988,1.546720,3.003046,19.408139,0
2017-03-13,sz.002142,18.0000,18.2000,17.6900,18.1100,16034096,287991712.0000,3,0.464425,1,0.499446,9.042928,1.554445,3.018045,19.505072,0
2017-03-14,sz.002142,18.1000,18.4700,18.1000,18.2800,15023104,275502080.0000,3,0.435142,1,0.938708,9.127815,1.569037,3.046376,19.688167,0
2017-03-15,sz.002142,18.3100,18.3800,18.1400,18.2200,7904196,144061598.0000,3,0.228944,1,-0.328235,9.097855,1.563887,3.036377,19.623545,0
2017-03-16,sz.002142,18.3000,18.5800,18.2400,18.3600,13037296,239999647.0000,3,0.377623,1,0.768394,9.167762,1.575904,3.059708,19.774330,0
2017-03-17,sz.002142,18.3600,18.4000,18.0000,18.0600,11273999,205080825.0000,3,0.326550,1,-1.633993,9.017962,1.550154,3.009712,19.451220,0
2017-03-20,sz.002142,18.0700,18.1700,17.7800,17.9700,11105211,199437579.0000,3,0.321661,1,-0.498340,8.973022,1.542429,2.994714,19.354287,0
2017-03-21,sz.002142,17.9800,18.0700,17.7700,18.0300,14282522,256016594.0000,3,0.413691,1,0.333898,9.002982,1.547579,3.004713,19.418909,0
2017-03-22,sz.002142,17.9500,17.9500,17.5100,17.5800,22646319,400799248.0000,3,0.655947,1,-2.495844,8.778282,1.508953,2.929720,18.934244,0
2017-03-23,sz.002142,17.5800,17.9000,17.5100,17.8800,14555161,258925053.0000,3,0.421588,1,1.706480,8.928082,1.534704,2.979715,19.257354,0
2017-03-24,sz.002142,17.9000,18.2300,17.8300,18.1600,15059243,271425760.0000,3,0.436189,1,1.565999,9.067895,1.558737,3.026378,19.558923,0
