date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-01-03,sz.002807,10.8300,11.0300,10.8300,11.0300,6550796,71862092.0000,3,3.127685,1,1.940851,25.025763,2.269063,7.840820,13.140518,0
2017-01-04,sz.002807,11.0300,11.0600,10.8900,11.0400,5684958,62557577.0000,3,2.714290,1,0.090664,25.048452,2.271121,7.847929,13.152431,0
2017-01-05,sz.002807,11.0200,11.1200,11.0000,11.0200,4733687,52313186.0000,3,2.260104,1,-0.181155,25.003075,2.267006,7.833712,13.128604,0
2017-01-06,sz.002807,10.9900,11.0000,10.8500,10.8500,4541820,49529212.0000,3,2.168497,1,-1.542650,24.617365,2.232034,7.712865,12.926076,0
2017-01-09,sz.002807,10.8300,10.8800,10.7300,10.8000,4468013,48199970.0000,3,2.133258,1,-0.460831,24.503921,2.221748,7.677322,12.866509,0
2017-01-10,sz.002807,10.8000,10.8000,10.6500,10.6600,6059093,64894465.0000,3,2.892921,1,-1.296299,24.186277,2.192948,7.577801,12.699721,0
2017-01-11,sz.002807,10.6600,10.7000,10.4800,10.5000,5742200,60755381.0000,3,2.741620,1,-1.500937,23.823256,2.160033,7.464063,12.509106,0
2017-01-12,sz.002807,10.4800,10.5700,10.3500,10.3700,3901732,40810710.0000,3,1.862887,1,-1.238096,23.528302,2.133290,7.371651,12.354231,0
2017-01-13,sz.002807,10.3700,10.3900,10.1300,10.1800,5702003,58274636.0000,3,2.722428,1,-1.832204,23.097214,2.094204,7.236587,12.127876,0
2017-01-16,sz.002807,10.1400,10.1500,9.4200,9.7000,9506798,93570963.0000,3,4.539032,1,-4.715132,22.008151,1.995459,6.895372,11.556031,0
2017-01-17,sz.002807,9.6300,9.8300,9.4600,9.7800,6489154,62661150.0000,3,3.098254,1,0.824742,22.189661,2.011917,6.952242,11.651338,0
2017-01-18,sz.002807,9.7500,9.7500,9.5700,9.5800,4244200,40907631.0000,3,2.026398,1,-2.044988,21.735885,1.970773,6.810069,11.413070,0
2017-01-19,sz.002807,9.5300,9.6300,9.4300,9.5500,4935936,47115901.0000,3,2.356668,1,-0.313150,21.667819,1.964602,6.788743,11.377329,0
2017-01-20,sz.002807,9.5300,9.8000,9.5100,9.7600,7075434,68642612.0000,3,3.378174,1,2.198953,22.144284,2.007802,6.938024,11.627511,0
2017-01-23,sz.002807,9.7300,9.8500,9.7000,9.7800,4432903,43356809.0000,3,2.116495,1,0.204913,22.189661,2.011917,6.952242,11.651338,0
2017-01-24,sz.002807,9.7800,10.1500,9.7200,9.8000,4200758,41339791.0000,3,2.005657,1,0.204504,22.235039,2.016031,6.966459,11.675165,0
