date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018-09-19,sz.002936,5.5100,6.6100,5.5100,6.6100,1665069,10973810.8900,3,0.277511,1,44.008710,8.946823,1.512724,3.732833,-14.064760,0
2018-09-20,sz.002936,7.2700,7.2700,7.2700,7.2700,1280027,9305796.2900,3,0.213338,1,9.984869,9.840152,1.663768,4.105552,-15.469108,0
2018-09-21,sz.002936,8.0000,8.0000,8.0000,8.0000,5819906,46559248.0000,3,0.969984,1,10.041270,10.828227,1.830831,4.517801,-17.022402,0
2018-09-25,sz.002936,8.0200,8.0900,7.4300,7.4800,272932096,2069654030.7900,3,45.488683,1,-6.500000,10.124393,1.711827,4.224144,-15.915946,0
2018-09-26,sz.002936,7.2200,7.5700,7.1200,7.3900,196596943,1439734444.5300,3,32.766157,1,-1.203211,10.002575,1.691230,4.173319,-15.724444,0
2018-09-27,sz.002936,7.2400,7.2800,6.8400,6.9100,182966091,1289596066.3700,3,30.494349,1,-6.495264,9.352881,1.581380,3.902251,-14.703100,0
2018-09-28,sz.002936,6.8100,7.0200,6.8100,6.8700,92218152,637237400.0400,3,15.369692,1,-0.578871,9.298740,1.572226,3.879662,-14.617988,0
2018-10-08,sz.002936,6.7500,6.7500,6.3100,6.3600,91759363,601290886.5400,3,15.293227,1,-7.423577,8.608441,1.455511,3.591652,-13.532809,0
2018-10-09,sz.002936,6.4000,6.4200,6.1600,6.2500,65842296,413378439.1400,3,10.973716,1,-1.729562,8.459553,1.430337,3.529532,-13.298751,0
2018-10-10,sz.002936,6.2600,6.2800,6.1200,6.1800,48760348,301995597.7800,3,8.126725,1,-1.120003,8.364806,1.414317,3.490001,-13.149805,0
2018-10-11,sz.002936,5.8800,5.9500,5.5600,5.6000,98550720,562531093.6100,3,16.425120,1,-9.385112,7.579759,1.281582,3.162461,-11.915681,0
2018-10-12,sz.002936,5.5500,5.8500,5.5000,5.7800,100639437,578427541.9700,3,16.773239,1,3.214291,7.823394,1.322775,3.264111,-12.298685,0
2018-10-15,sz.002936,5.7700,5.7700,5.5900,5.6100,51240037,289468415.3300,3,8.540006,1,-2.941178,7.593295,1.283870,3.168108,-11.936959,0
2018-10-16,sz.002936,5.6000,5.6900,5.4600,5.5100,39784433,222211304.3700,3,6.630739,1,-1.782529,7.457942,1.260985,3.111635,-11.724179,0
2018-10-17,sz.002936,5.5900,5.6300,5.2800,5.4200,65150010,353693589.2300,3,10.858335,1,-1.633397,7.336124,1.240388,3.060810,-11.532677,0
2018-10-18,sz.002936,5.3500,5.3500,5.1600,5.1800,46411249,243128365.8300,3,7.735208,1,-4.428049,7.011277,1.185463,2.925276,-11.022005,0
2018-10-19,sz.002936,5.0800,5.2900,5.0300,5.2700,56467012,293421330.7200,3,9.411169,1,1.737455,7.133095,1.206060,2.976101,-11.213507,0
2018-10-22,sz.002936,5.2600,5.7900,5.2200,5.7200,125504964,697763716.1200,3,20.917494,1,8.538896,7.762010,1.142714,3.086506,-19.519429,0
2018-10-23,sz.002936,5.6400,5.6800,5.4400,5.4800,83144911,460834889.4300,3,13.857485,1,-4.195800,7.436331,1.094768,2.957002,-18.700432,0
2018-10-24,sz.002936,5.4300,6.0000,5.4300,5.6700,140661630,807105733.9300,3,23.443605,1,3.467155,7.694160,1.132725,3.059526,-19.348804,0
2018-10-25,sz.002936,5.4400,5.8400,5.4000,5.8100,111266197,623450395.6100,3,18.544366,1,2.469133,7.884140,1.160694,3.135069,-19.826553,0
2018-10-26,sz.002936,5.7900,5.8000,5.6600,5.7100,67563600,386570270.2400,3,11.260600,1,-1.721169,7.748440,1.140716,3.081110,-19.485304,0
2018-10-29,sz.002936,5.6700,5.7700,5.5100,5.5300,48264760,270261926.7900,3,8.044127,1,-3.152361,7.504181,1.104757,2.983982,-18.871056,0
2018-10-30,sz.002936,5.5500,5.8300,5.5000,5.6900,80161661,455622382.9100,3,13.360277,1,2.893306,7.721300,1.136721,3.070318,-19.417054,0
2018-10-31,sz.002936,5.6800,5.9700,5.6100,5.8200,113931973,662088568.1100,3,18.988662,1,2.284712,7.897709,1.162691,3.140465,-19.860677,0
2018-11-01,sz.002936,5.7700,5.9200,5.7200,5.7300,84099446,487654072.1700,3,14.016574,1,-1.546394,7.775580,1.144712,3.091902,-19.553554,0
2018-11-02,sz.002936,5.8000,5.9500,5.7400,5.8600,90851877,529780676.1600,3,15.141979,1,2.268763,7.951989,1.170682,3.162049,-19.997177,0
2018-11-05,sz.002936,5.8300,5.9400,5.7300,5.8200,69755822,406695621.8500,3,11.625970,1,-0.682593,7.897709,1.162691,3.140465,-19.860677,0
2018-11-06,sz.002936,5.7500,5.7800,5.5900,5.6700,64491138,365216545.9200,3,10.748523,1,-2.577321,7.694160,1.132725,3.059526,-19.348804,0
2018-11-07,sz.002936,5.6500,5.7000,5.6000,5.6100,36876348,208270332.9700,3,6.146058,1,-1.058200,7.612741,1.120739,3.027150,-19.144055,0
2018-11-08,sz.002936,5.6600,5.6800,5.5700,5.5700,32437413,182335877.3300,3,5.406236,1,-0.713012,7.558461,1.112748,3.005566,-19.007556,0
2018-11-09,sz.002936,5.5500,5.5500,5.4500,5.4500,34154067,187240870.1200,3,5.692344,1,-2.154405,7.395621,1.088775,2.940814,-18.598057,0
2018-11-12,sz.002936,5.4500,5.5300,5.4300,5.5200,28169447,154726993.1400,3,4.694908,1,1.284407,7.490611,1.102759,2.978586,-18.836931,0
2018-11-13,sz.002936,5.4700,5.6300,5.4500,5.6100,54982791,305372239.1100,3,9.163799,1,1.630438,7.612741,1.120739,3.027150,-19.144055,0
2018-11-14,sz.002936,5.5800,5.6400,5.5500,5.5600,41576983,232601014.3700,3,6.929497,1,-0.891269,7.544891,1.110750,3.000170,-18.973431,0
2018-11-15,sz.002936,5.5500,5.6400,5.5300,5.6400,43707075,244989837.0200,3,7.284512,1,1.438848,7.653450,1.126732,3.043338,-19.246430,0
2018-11-16,sz.002936,5.6500,5.7700,5.5900,5.7000,70657878,401754045.3300,3,11.776313,1,1.063829,7.734870,1.138718,3.075714,-19.451179,0
2018-11-19,sz.002936,5.6900,5.8600,5.6700,5.8600,99451949,576611397.9500,3,16.575325,1,2.807023,7.951989,1.170682,3.162049,-19.997177,0
2018-11-20,sz.002936,5.8000,5.8100,5.6100,5.6300,67442629,385523968.9100,3,11.240438,1,-3.924915,7.639880,1.124734,3.037942,-19.212305,0
2018-11-21,sz.002936,5.5500,5.6300,5.5200,5.6100,31756431,177319301.8700,3,5.292739,1,-0.355239,7.612741,1.120739,3.027150,-19.144055,0
2018-11-22,sz.002936,5.6100,5.6300,5.5200,5.5400,33415410,185717137.1900,3,5.569235,1,-1.247775,7.517751,1.106754,2.989378,-18.905181,0
2018-11-23,sz.002936,5.5500,5.5600,5.3500,5.3700,40667592,221335097.1000,3,6.777932,1,-3.068594,7.287062,1.072793,2.897646,-18.325058,0
2018-11-26,sz.002936,5.3700,5.4300,5.3600,5.3800,18595287,100299052.3400,3,3.099214,1,0.186224,7.300632,1.074790,2.903042,-18.359183,0
2018-11-27,sz.002936,5.4000,5.4200,5.3200,5.3600,19451705,104521183.3400,3,3.241951,1,-0.371747,7.273492,1.070795,2.892250,-18.290933,0
2018-11-28,sz.002936,5.3500,5.4100,5.3100,5.4000,20579339,110596774.0200,3,3.429890,1,0.746268,7.327772,1.078786,2.913834,-18.427433,0
