date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-01-16,sz.002948,5.4200,6.5100,5.4200,6.5100,1313029,8507921.7600,3,0.291152,1,44.026550,14.845504,1.600914,4.432321,-25.586726,0
2019-01-17,sz.002948,7.1600,7.1600,7.1600,7.1600,1668508,11946517.2800,3,0.369976,1,9.984632,16.327774,1.760759,4.874872,-28.141469,0
2019-01-18,sz.002948,7.8800,7.8800,7.2900,7.6500,231716628,1756897986.2900,3,51.381058,1,6.843579,17.445177,1.881258,5.208488,-30.067351,0
2019-01-21,sz.002948,7.4100,7.4400,6.9100,6.9600,162424450,1147984202.0600,3,36.016147,1,-9.019608,15.871690,1.711576,4.738703,-27.355394,0
2019-01-22,sz.002948,6.8200,6.8800,6.7000,6.7300,94921815,642082085.2400,3,21.048051,1,-3.304598,15.347195,1.655015,4.582108,-26.451408,0
2019-01-23,sz.002948,6.7000,6.7700,6.5400,6.5700,80855396,536168131.9200,3,17.928950,1,-2.377412,14.982328,1.615669,4.473172,-25.822549,0
2019-01-24,sz.002948,6.5600,6.8400,6.3500,6.6700,116632547,764749617.4900,3,25.862208,1,1.522069,15.210370,1.640260,4.541257,-26.215586,0
2019-01-25,sz.002948,6.5700,6.6700,6.4500,6.4500,73831574,484430418.8200,3,16.371481,1,-3.298355,14.708679,1.586159,4.391470,-25.350904,0
2019-01-28,sz.002948,6.4700,6.4900,6.1700,6.1800,72042207,453341912.9000,3,15.974705,1,-4.186047,14.092967,1.519762,4.207641,-24.289703,0
2019-01-29,sz.002948,6.1600,6.2500,6.0200,6.1500,49182116,302124021.1400,3,10.905688,1,-0.485433,14.024554,1.512384,4.187216,-24.171792,0
2019-01-30,sz.002948,6.1100,6.1900,6.0400,6.0400,31450811,192270819.0100,3,6.973932,1,-1.788620,13.773708,1.485333,4.112323,-23.739451,0
2019-01-31,sz.002948,6.0600,6.1300,5.8600,5.8800,47912154,287871987.4600,3,10.624085,1,-2.649004,13.408842,1.445987,4.003387,-23.110592,0
2019-02-01,sz.002948,5.9200,5.9500,5.8700,5.9400,30730802,181733613.9900,3,6.814276,1,1.020407,13.545667,1.460742,4.044238,-23.346414,0
2019-02-11,sz.002948,5.9500,6.1200,5.9400,6.1000,46976099,282999353.0400,3,10.416523,1,2.693600,13.595810,1.500088,3.731590,-23.975274,0
